name,abbrv,color,coauthored
Luca Mottola,L. Mottola,#00bfff,1
Luciano Baresi,L. Baresi,#00bfff,1
Alessandro Barenghi,A. Barenghi,#00bfff,1
Gerardo Pelosi,G. Pelosi,#00bfff,1
Giovanni Agosta,G. Agosta,#00bfff,1
Vittorio Zaccaria,V. Zaccaria,#00bfff,1
Gianluca Palermo,G. Palermo,#00bfff,1
Cristina Silvano,C. Silvano,#00bfff,1
Matteo Matteucci,M. Matteucci,#ffc0cb,1
Marco Masseroli,M. Masseroli,#ffc0cb,1
Danilo Ardagna,D. Ardagna,#32CD32,0
Marco Tagliasacchi,M. Tagliasacchi,#00bfff,1
Davide Martinenghi,D. Martinenghi,#00bfff,1
Piero Fraternali,P. Fraternali,#32CD32,1
Stefano Zanero,S. Zanero,#00bfff,0
Francesco Bruschi,F. Bruschi,#00bfff,1
Donatella Sciuto,D. Sciuto,#00bfff,1
Francesco Amigoni,F. Amigoni,#ffc0cb,1
Nicola Gatti,N. Gatti,#32CD32,1
Franca Garzotto,F. Garzotto,#32CD32,0
Matteo Pradella,M. Pradella,#00bfff,0
Stefano Ceri,S. Ceri,#32CD32,1
Maristella Matera,M. Matera,#32CD32,1
Florian Daniel,F. Daniel,#32CD32,1
Daniele Braga,D. Braga,#00bfff,1
Marcello Restelli,M. Restelli,#32CD32,1
Fabrizio Ferrandi,F. Ferrandi,#00bfff,1
Marco Santambrogio,M. Santambrogio,#00bfff,1
Andrea Bonarini,A. Bonarini,#32CD32,1
Giacomo Boracchi,G. Boracchi,#32CD32,1
Vincenzo Caglioti,V. Caglioti,#32CD32,1
Manuel Roveri,M. Roveri,#32CD32,1
Emanuele Della Valle,E. Della Valle,#32CD32,1
Marco Brambilla,M. Brambilla,#32CD32,1
Marco Gribaudo,M. Gribaudo,#d3d3d3,0
William Fornaciari,W. Fornaciari,#d3d3d3,0
Alessandro Margara,A. Margara,#00bfff,0
