name,abbrv,color,coauthored
Jordi Guitart,J. Guitart,#00bfff,1
Jordi Torres,J. Torres,#00bfff,1
Felix Freitag,F. Freitag,#d3d3d3,0
Marc González,M. González,#00bfff,1
Mateo Valero,M. Valero,#00bfff,1
Eduard Ayguadé,E. Ayguadé,#00bfff,1
Jesús Labarta,J. Labarta,#00bfff,1
Antonio González,A. González,#00bfff,1
Joan-Manuel Parcerisa,J. Parcerisa,#00bfff,1
Ramon Canal,R. Canal,#00bfff,1
David Carrera,D. Carrera,#00bfff,1
Albert Cabellos-Aparicio,A. Cabellos-Aparicio,#00bfff,1
Jordi Domingo-Pascual,J. Domingo-Pascual,#00bfff,1
Julita Corbalán,J. Corbalán,#00bfff,1
Daniel Jiménez-González,D. Jiménez-González,#d3d3d3,1
Roger Espasa,R. Espasa,#ffc0cb,0
Josep Solé-Pareta,J. Solé-Pareta,#00bfff,1
Pere Barlet-Ros,P. Barlet-Ros,#00bfff,1
José Cela,J. Cela,#00bfff,0
Philippe Salembier,P. Salembier,#32CD32,0
José Barceló-Ordinas,J. Barceló-Ordinas,#d3d3d3,0
José Llabería,J. Llabería,#00bfff,0
