name,abbrv,color,coauthored
Bernard Chazelle,B. Chazelle,#ffff00,0
Mark Zhandry,M. Zhandry,#ffff00,0
Ruby Lee,R. Lee,#00bfff,1
Jennifer Rexford,J. Rexford,#00bfff,1
Jonathan Cohen,J. Cohen,#32CD32,1
Kai Li,K. Li,#00bfff,1
Prateek Mittal,P. Mittal,#00bfff,1
David Wentzlaff,D. Wentzlaff,#00bfff,1
Nick Feamster,N. Feamster,#00bfff,1
Nathaniel Daw,N. Daw,#32CD32,0
Andrew Appel,A. Appel,#00bfff,0
Ran Raz,R. Raz,#ffff00,1
Gillat Kol,G. Kol,#ffff00,1
Mark Braverman,M. Braverman,#ffff00,1
Warren Powell,W. Powell,#32CD32,0
Yuxin Chen,Y. Chen,#32CD32,0
Aarti Gupta,A. Gupta,#00bfff,1
David Walker,D. Walker,#00bfff,1
Barbara Engelhardt,B. Engelhardt,#32CD32,0
Mona Singh,M. Singh,#ffc0cb,0
Michael Freedman,M. Freedman,#00bfff,1
Edward Felten,E. Felten,#00bfff,1
Wyatt Lloyd,W. Lloyd,#00bfff,1
Arvind Narayanan,A. Narayanan,#00bfff,1
S. Weinberg,S. Weinberg,#ffff00,1
Emmanuel Abbe,E. Abbe,#32CD32,0
H. Poor,H. Poor,#00bfff,0
Jonathan Pillow,J. Pillow,#32CD32,0
Szymon Rusinkiewicz,S. Rusinkiewicz,#ffc0cb,1
Thomas Funkhouser,T. Funkhouser,#ffc0cb,1
Adam Finkelstein,A. Finkelstein,#ffc0cb,1
David Dobkin,D. Dobkin,#ffc0cb,1
Margaret Martonosi,M. Martonosi,#00bfff,1
Sharad Malik,S. Malik,#00bfff,1
Robert Tarjan,R. Tarjan,#ffff00,0
Olga Troyanskaya,O. Troyanskaya,#ffc0cb,1
Benjamin Raphael,B. Raphael,#ffc0cb,0
Niraj Jha,N. Jha,#00bfff,0
Sanjeev Arora,S. Arora,#ffff00,0
Olga Russakovsky,O. Russakovsky,#32CD32,0
David August,D. August,#00bfff,1
Peter Ramadge,P. Ramadge,#32CD32,0
Kyle Jamieson,K. Jamieson,#00bfff,0
Yoram Singer,Y. Singer,#32CD32,0
Zachary Kincaid,Z. Kincaid,#00bfff,0
H. Seung,H. Seung,#32CD32,0
Amir Ahmadi,A. Ahmadi,#ffc0cb,0
Samory Kpotufe,S. Kpotufe,#32CD32,0
Elad Hazan,E. Hazan,#32CD32,0
Naomi Leonard,N. Leonard,#ffc0cb,0
Zeev Dvir,Z. Dvir,#ffff00,0
