name,abbrv,color,coauthored
Christina Garman,C. Garman,#00bfff,0
Ahmed Elmagarmid,A. Elmagarmid,#00bfff,1
Elisa Bertino,E. Bertino,#00bfff,1
Jennifer Neville,J. Neville,#32CD32,1
Bedrich Benes,B. Benes,#ffc0cb,1
Daniel Aliaga,D. Aliaga,#ffc0cb,1
He Wang,H. Wang,#00bfff,0
Chris Clifton,C. Clifton,#32CD32,0
Tiark Rompf,T. Rompf,#00bfff,0
Zhiyuan Li,Z. Li,#00bfff,1
Yexiang Xue,Y. Xue,#32CD32,1
Yung-Hsiang Lu,Y. Lu,#ffc0cb,1
Benjamin Delaware,B. Delaware,#00bfff,0
Alex Pothen,A. Pothen,#00bfff,1
David Gleich,D. Gleich,#32CD32,1
Wojciech Szpankowski,W. Szpankowski,#ffff00,1
Ananth Grama,A. Grama,#ffc0cb,1
Daisuke Kihara,D. Kihara,#ffc0cb,0
Roopsha Samanta,R. Samanta,#ffff00,0
Michael Gribskov,M. Gribskov,#ffc0cb,1
Jeffrey Siskind,J. Siskind,#32CD32,0
Robert Skeel,R. Skeel,#32CD32,0
Ninghui Li,N. Li,#00bfff,1
Hemanta Maji,H. Maji,#ffff00,1
Jeremiah Blocki,J. Blocki,#32CD32,1
Aniket Kate,A. Kate,#00bfff,1
Elias Bareinboim,E. Bareinboim,#32CD32,0
Ming Yin,M. Yin,#32CD32,0
Walid Aref,W. Aref,#00bfff,0
Xavier Tricoche,X. Tricoche,#ffc0cb,1
Voicu Popescu,V. Popescu,#ffc0cb,1
Christoph Hoffmann,C. Hoffmann,#ffc0cb,1
Elena Grigorescu,E. Grigorescu,#ffff00,0
Suresh Jagannathan,S. Jagannathan,#00bfff,1
Sunil Prabhakar,S. Prabhakar,#00bfff,1
Susanne Hambrusch,S. Hambrusch,#d3d3d3,1
Xiangyu Zhang,X. Zhang,#00bfff,1
T. Vijaykumar,T. Vijaykumar,#00bfff,0
Ramana Kompella,R. Kompella,#00bfff,1
Dongyan Xu,D. Xu,#00bfff,1
Y. Hu,Y. Hu,#00bfff,1
Milind Kulkarni,M. Kulkarni,#00bfff,1
Saurabh Bagchi,S. Bagchi,#00bfff,1
Simina Brânzei,S. Brânzei,#32CD32,0
Saugata Basu,S. Basu,#ffff00,0
William Cleveland,W. Cleveland,#ffc0cb,0
Petros Drineas,P. Drineas,#32CD32,0
Dan Goldwasser,D. Goldwasser,#32CD32,0
Bruno Ribeiro,B. Ribeiro,#32CD32,0
Elisha Sacks,E. Sacks,#ffc0cb,1
Yiying 0005,Y. 0005,#00bfff,0
Chunyi Peng,C. Peng,#00bfff,0
Jean Honorio,J. Honorio,#32CD32,0
Byoungyoung Lee,B. Lee,#00bfff,0
Mikhail Atallah,M. Atallah,#00bfff,0
Bruno Ribeiro,B. Ribeiro,#00bfff,0
