name,abbrv,color,coauthored
Stephan Vogel,S. Vogel,#32CD32,1
Nadir Durrani,N. Durrani,#32CD32,1
Hassan Sajjad,H. Sajjad,#32CD32,1
Ahmed Abdelali,A. Abdelali,#32CD32,1
Preslav Nakov,P. Nakov,#32CD32,1
Fahim Dalvi,F. Dalvi,#32CD32,1
Lluís Villodre,L. Villodre,#32CD32,1
Alessandro Moschitti,A. Moschitti,#32CD32,1
Alberto Barrón-Cedeño,A. Barrón-Cedeño,#32CD32,1
Giovanni Da San Martino,G. Da San Martino,#32CD32,1
Kareem Darwish,K. Darwish,#32CD32,1
Salvatore Romeo,S. Romeo,#32CD32,0
Ting Yu,T. Yu,#32CD32,0
Xiaosong Ma,X. Ma,#00bfff,0
Mourad Ouzzani,M. Ouzzani,#00bfff,0
