name,abbrv,color,coauthored
Flora Salim,F. Salim,#ffc0cb,0
Zhifeng Bao,Z. Bao,#00bfff,1
Farhana Choudhury,F. Choudhury,#00bfff,1
J. Culpepper,J. Culpepper,#32CD32,1
Mark Sanderson,M. Sanderson,#32CD32,1
Falk Scholer,F. Scholer,#32CD32,1
Lawrence Cavedon,L. Cavedon,#32CD32,0
Xun Yi,X. Yi,#d3d3d3,0
James Harland,J. Harland,#32CD32,1
John Thangarajah,J. Thangarajah,#32CD32,1
Xiangmin Zhou,X. Zhou,#ffc0cb,0
Sebastian Sardiña,S. Sardiña,#32CD32,1
Fabio Zambetta,F. Zambetta,#32CD32,1
Lin Padgham,L. Padgham,#32CD32,1
Zahir Tari,Z. Tari,#32CD32,0
Xiaong-Dong Li,X. Li,#00bfff,0
Tao Gu,T. Gu,#ffc0cb,0
Jeffrey Chan,J. Chan,#32CD32,0
Ke Deng,K. Deng,#00bfff,0
