name,abbrv,color,coauthored
Torsten Kuhlen,T. Kuhlen,#ffc0cb,0
Dorit Merhof,D. Merhof,#ffc0cb,0
Gerhard Lakemeyer,G. Lakemeyer,#32CD32,0
Jürgen Giesl,J. Giesl,#ffff00,0
Bastian Leibe,B. Leibe,#32CD32,1
Leif Kobbelt,L. Kobbelt,#ffc0cb,1
Stefan Decker,S. Decker,#32CD32,0
Ulrik Schroeder,U. Schroeder,#ffc0cb,0
Jan Borchers,J. Borchers,#ffc0cb,0
Martin Grohe,M. Grohe,#ffff00,1
Pascal Schweitzer,P. Schweitzer,#ffff00,1
Erika Ábrahám,E. Ábrahám,#ffff00,1
Joost-Pieter Katoen,J. Katoen,#ffff00,1
Jan Bender,J. Bender,#ffc0cb,0
Bernhard Rumpe,B. Rumpe,#00bfff,0
Uwe Naumann,U. Naumann,#d3d3d3,0
Erich Grädel,E. Grädel,#ffff00,0
Klaus Wehrle,K. Wehrle,#00bfff,0
Hermann Ney,H. Ney,#32CD32,0
Matthias Jarke,M. Jarke,#00bfff,0
Paolo Bientinesi,P. Bientinesi,#00bfff,0
