name,abbrv,color,coauthored
Christopher Bystroff,C. Bystroff,#ffc0cb,0
Jeffrey Trinkle,J. Trinkle,#ffc0cb,1
Stacy Patterson,S. Patterson,#ffc0cb,1
Wayne Gray,W. Gray,#ffc0cb,0
Boleslaw Szymanski,B. Szymanski,#32CD32,1
Carlos Varela,C. Varela,#d3d3d3,1
James Hendler,J. Hendler,#32CD32,0
Selmer Bringsjord,S. Bringsjord,#32CD32,0
Sibel Adali,S. Adali,#32CD32,1
Malik Magdon-Ismail,M. Magdon-Ismail,#32CD32,1
Lirong Xia,L. Xia,#32CD32,1
Ana Milanova,A. Milanova,#00bfff,0
Barbara Cutler,B. Cutler,#ffc0cb,0
Heng Ji,H. Ji,#32CD32,0
Francine Berman,F. Berman,#00bfff,0
Elliot Anshelevich,E. Anshelevich,#32CD32,1
