name,abbrv,color,coauthored
Richard Baraniuk,R. Baraniuk,#32CD32,1
Anshumali Shrivastava,A. Shrivastava,#32CD32,1
Scott Rixner,S. Rixner,#00bfff,1
Swarat Chaudhuri,S. Chaudhuri,#00bfff,1
Chris Jermaine,C. Jermaine,#00bfff,1
Alan Cox,A. Cox,#00bfff,1
Moshe Vardi,M. Vardi,#ffff00,1
Lydia Kavraki,L. Kavraki,#ffc0cb,1
Ashok Veeraraghavan,A. Veeraraghavan,#32CD32,0
Joe Warren,J. Warren,#ffc0cb,0
Dan Wallach,D. Wallach,#00bfff,0
T. Ng,T. Ng,#00bfff,1
David Johnson,D. Johnson,#00bfff,0
Robert Cartwright,R. Cartwright,#d3d3d3,0
Krishna Palem,K. Palem,#00bfff,0
Lin Zhong,L. Zhong,#00bfff,0
Akane Sano,A. Sano,#ffc0cb,0
Edward Knightly,E. Knightly,#00bfff,0
John Mellor-Crummey,J. Mellor-Crummey,#00bfff,1
Luay Nakhleh,L. Nakhleh,#ffc0cb,0
Ron Goldman,R. Goldman,#ffc0cb,0
Peter Varman,P. Varman,#00bfff,0
