name,abbrv,color,coauthored
Alan Kaminsky,A. Kaminsky,#d3d3d3,0
Adrienne Decker,A. Decker,#d3d3d3,0
Carlos Rivero,C. Rivero,#d3d3d3,0
Michael Mior,M. Mior,#d3d3d3,0
Naveen Sharma,N. Sharma,#00bfff,0
Hadi Hosseini,H. Hosseini,#32CD32,0
Nathan Cahill,N. Cahill,#32CD32,0
Ziming Zhao,Z. Zhao,#00bfff,0
Taejoong Chung,T. Chung,#00bfff,0
Mohan Kumar,M. Kumar,#00bfff,0
Hossein Hojjat,H. Hojjat,#00bfff,0
Ivona Bezáková,I. Bezáková,#ffff00,1
James Heliotis,J. Heliotis,#d3d3d3,1
Zack Butler,Z. Butler,#ffc0cb,1
Bo Yuan,B. Yuan,#00bfff,0
Travis Desell,T. Desell,#d3d3d3,0
David Schwartz,D. Schwartz,#d3d3d3,1
Sumita Mishra,S. Mishra,#d3d3d3,1
Yin Pan,Y. Pan,#d3d3d3,1
Alexander Ororbia,A. Ororbia,#32CD32,0
Matthew Wright,M. Wright,#00bfff,0
Daniel Ashbrook,D. Ashbrook,#ffc0cb,0
Mohamed Mkaouer,M. Mkaouer,#d3d3d3,0
Andrew Meneely,A. Meneely,#00bfff,0
Edith Hemaspaandra,E. Hemaspaandra,#32CD32,0
Christopher Homan,C. Homan,#32CD32,0
Yu Kong,Y. Kong,#32CD32,0
Anne Haake,A. Haake,#32CD32,1
Pengcheng Shi,P. Shi,#32CD32,1
Qi Yu,Q. Yu,#32CD32,1
Vicki Hanson,V. Hanson,#ffc0cb,0
Reynold Bailey,R. Bailey,#ffc0cb,0
Richard Zanibbi,R. Zanibbi,#32CD32,0
Kristen Shinohara,K. Shinohara,#ffc0cb,0
Daniel Krutz,D. Krutz,#d3d3d3,0
Charles Border,C. Border,#d3d3d3,0
Matt Huenerfauth,M. Huenerfauth,#32CD32,0
Ifeoma Nwogu,I. Nwogu,#32CD32,0
Matthew Fluet,M. Fluet,#00bfff,0
Linwei Wang,L. Wang,#32CD32,1
Mehdi Mirakhorli,M. Mirakhorli,#00bfff,0
Hrishikesh Acharya,H. Acharya,#00bfff,0
