name,abbrv,color,coauthored
Swastik Kopparty,S. Kopparty,#ffff00,1
Shubhangi Saraf,S. Saraf,#ffff00,1
Manish Parashar,M. Parashar,#00bfff,0
Aaron Bernstein,A. Bernstein,#ffff00,0
Sudarsun Kannan,S. Kannan,#00bfff,0
Sunyoung Kim,S. Kim,#ffc0cb,0
Kostas Bekris,K. Bekris,#ffc0cb,1
George Moustakides,G. Moustakides,#ffc0cb,1
Jingjin Yu,J. Yu,#ffc0cb,1
Abdeslam Boularias,A. Boularias,#ffc0cb,1
B. Badrinath,B. Badrinath,#d3d3d3,1
Desheng Zhang,D. Zhang,#00bfff,1
Thu Nguyen,T. Nguyen,#00bfff,1
Richard Martin,R. Martin,#00bfff,1
Santosh Nagarakatte,S. Nagarakatte,#00bfff,1
Marco Gruteser,M. Gruteser,#00bfff,1
Srinivas Narayana,S. Narayana,#00bfff,0
Periklis Papakonstantinou,P. Papakonstantinou,#ffff00,0
Amélie Marian,A. Marian,#00bfff,0
Rebecca Wright,R. Wright,#00bfff,1
S. Muthukrishnan,S. Muthukrishnan,#32CD32,1
Manish Singh,M. Singh,#ffc0cb,1
Ahmed Elgammal,A. Elgammal,#32CD32,1
Jacob Feldman,J. Feldman,#32CD32,1
Janne Lindqvist,J. Lindqvist,#ffc0cb,1
Wade Trappe,W. Trappe,#00bfff,1
Kristin Dana,K. Dana,#32CD32,1
Mubbasir Kapadia,M. Kapadia,#ffc0cb,0
Vladimir Pavlovic,V. Pavlovic,#32CD32,1
Dimitris Metaxas,D. Metaxas,#32CD32,1
Sungjin Ahn,S. Ahn,#32CD32,0
Gerard de Melo,G. de Melo,#32CD32,0
Matthew Stone,M. Stone,#32CD32,0
Mridul Aanjaneya,M. Aanjaneya,#ffc0cb,0
Eddy Zhang,E. Zhang,#00bfff,1
Mario Szegedy,M. Szegedy,#ffff00,1
Casimir Kulikowski,C. Kulikowski,#32CD32,0
Alexander Schliep,A. Schliep,#ffc0cb,0
Yongfeng Zhang,Y. Zhang,#32CD32,0
Spiros Papadimitriou,S. Papadimitriou,#32CD32,0
Alexander Borgida,A. Borgida,#32CD32,0
Martin Farach-Colton,M. Farach-Colton,#00bfff,0
Chirag Shah,C. Shah,#32CD32,0
Pranjal Awasthi,P. Awasthi,#32CD32,0
Ping Li,P. Li,#32CD32,0
Ulrich Kremer,U. Kremer,#ffc0cb,0
Michael Saks,M. Saks,#ffff00,0
