name,abbrv,color,coauthored
Shuangjiu Xiao,S. Xiao,#ffc0cb,1
Xubo Yang,X. Yang,#ffc0cb,1
Tianfang Yao,T. Yao,#32CD32,0
Jingwen Leng,J. Leng,#00bfff,0
Haopeng Chen,H. Chen,#00bfff,1
Xiaoyao Liang,X. Liang,#00bfff,1
Minyi Guo,M. Guo,#00bfff,1
Hongtao Lu,H. Lu,#32CD32,0
Haibo Chen,H. Chen,#00bfff,1
Yubin Xia,Y. Xia,#00bfff,1
Rong Chen,R. Chen,#00bfff,1
Binyu Zang,B. Zang,#00bfff,1
Haibing Guan,H. Guan,#00bfff,1
Yuanyuan Zhang,Y. Zhang,#00bfff,1
Dawu Gu,D. Gu,#00bfff,1
Hai Zhao,H. Zhao,#32CD32,0
Lei 0031,L. 0031,#ffff00,1
Li Jiang,L. Jiang,#00bfff,1
Minglu Li,M. Li,#00bfff,1
Jian Cao,J. Cao,#32CD32,1
Yanmin Zhu,Y. Zhu,#00bfff,1
Hongzi Zhu,H. Zhu,#00bfff,1
Guangtao Xue,G. Xue,#00bfff,1
Zhengwei Qi,Z. Qi,#00bfff,1
Jianguo Yao,J. Yao,#00bfff,1
Quan Chen,Q. Chen,#00bfff,1
Linghe Kong,L. Kong,#00bfff,0
Lei Xu,L. Xu,#ffc0cb,0
Wenli Zheng,W. Zheng,#d3d3d3,0
Shengli Liu,S. Liu,#ffff00,0
Xiaofeng Gao,X. Gao,#00bfff,0
Chentao Wu,C. Wu,#d3d3d3,0
Yuan Luo,Y. Luo,#32CD32,0
Luoyi Fu,L. Fu,#00bfff,1
Xinbing Wang,X. Wang,#00bfff,1
Fan 0006,F. 0006,#32CD32,1
Guihai Chen,G. Chen,#32CD32,1
Ruimin Shen,R. Shen,#32CD32,1
Liping Shen,L. Shen,#32CD32,1
Haojin Zhu,H. Zhu,#00bfff,0
Chao Li,C. Li,#32CD32,0
Bin Yao,B. Yao,#ffc0cb,0
Zhiqiang Liu,Z. Liu,#ffff00,0
Yu Yu,Y. Yu,#ffff00,1
Zhen Liu,Z. Liu,#ffc0cb,0
Cewu Lu,C. Lu,#32CD32,0
Bin Sheng,B. Sheng,#32CD32,0
Yong Yu,Y. Yu,#32CD32,1
Weinan Zhang,W. Zhang,#32CD32,1
Junchi Yan,J. Yan,#32CD32,0
Yuting Chen,Y. Chen,#00bfff,1
Hao Zhong,H. Zhong,#00bfff,1
Fang Li,F. Li,#32CD32,0
Xiaotie Deng,X. Deng,#32CD32,0
Yanyan Shen,Y. Shen,#00bfff,0
Dominik Scheder,D. Scheder,#ffff00,0
Xuejia Lai,X. Lai,#ffff00,0
Kenny Zhu,K. Zhu,#32CD32,0
Weijia Jia,W. Jia,#32CD32,0
