name,abbrv,color,coauthored
Hamid Rabiee,H. Rabiee,#32CD32,1
Mahdieh Baghshah,M. Baghshah,#32CD32,1
Amir-Hossein Jahangir,A. Jahangir,#d3d3d3,0
Mohammad Ghodsi,M. Ghodsi,#32CD32,0
Mohammad Abam,M. Abam,#ffff00,0
Rasool Jalili,R. Jalili,#d3d3d3,1
Siavash Sarmadi,S. Sarmadi,#d3d3d3,1
Hossein Asadi,H. Asadi,#00bfff,1
Hamid Sarbazi-Azad,H. Sarbazi-Azad,#00bfff,1
Alireza Ejlali,A. Ejlali,#00bfff,0
Maziar Goudarzi,M. Goudarzi,#d3d3d3,0
Shaahin Hessabi,S. Hessabi,#d3d3d3,1
Somayyeh Koohi,S. Koohi,#d3d3d3,1
Jafari Siavoshani,J. Siavoshani,#d3d3d3,0
Seyed Miremadi,S. Miremadi,#d3d3d3,0
