name,abbrv,color,coauthored
Martin Ester,M. Ester,#32CD32,1
Uwe Glässer,U. Glässer,#32CD32,1
Oliver Schulte,O. Schulte,#32CD32,1
Mohamed Hefeeda,M. Hefeeda,#ffc0cb,0
Yasutaka Furukawa,Y. Furukawa,#32CD32,0
Ghassan Hamarneh,G. Hamarneh,#32CD32,0
Binay Bhattacharya,B. Bhattacharya,#ffc0cb,0
Leonid Chindelevitch,L. Chindelevitch,#ffc0cb,0
Petra Berenbrink,P. Berenbrink,#ffff00,0
Keval Vora,K. Vora,#00bfff,0
Pavol Hell,P. Hell,#ffff00,0
Mark Drew,M. Drew,#32CD32,1
Ze-Nian Li,Z. Li,#32CD32,1
Greg Mori,G. Mori,#32CD32,1
William Sumner,W. Sumner,#00bfff,1
Arrvindh Shriraman,A. Shriraman,#00bfff,1
KangKang Yin,K. Yin,#ffc0cb,0
Ping Tan,P. Tan,#32CD32,1
Hao Zhang,H. Zhang,#ffc0cb,1
Eugenia Ternovska,E. Ternovska,#32CD32,1
David Mitchell,D. Mitchell,#32CD32,1
Richard Vaughan,R. Vaughan,#ffc0cb,1
Ramesh Krishnamurti,R. Krishnamurti,#ffc0cb,0
Ryan Shea,R. Shea,#00bfff,0
Anoop Sarkar,A. Sarkar,#32CD32,0
Andrei Bulatov,A. Bulatov,#ffff00,0
Kay Wiese,K. Wiese,#ffc0cb,0
Jiannan Wang,J. Wang,#00bfff,1
Jian Pei,J. Pei,#32CD32,1
Robert Cameron,R. Cameron,#00bfff,1
Ke Wang,K. Wang,#00bfff,1
Fred Popowich,F. Popowich,#32CD32,1
James Delgrande,J. Delgrande,#32CD32,1
Maxwell Libbrecht,M. Libbrecht,#32CD32,0
Mo Chen,M. Chen,#32CD32,0
Parmit Chilana,P. Chilana,#ffc0cb,0
Valentine Kabanets,V. Kabanets,#ffff00,0
Tianzheng Wang,T. Wang,#00bfff,0
