name,abbrv,color,coauthored
Feida Zhu,F. Zhu,#00bfff,1
Ee-Peng Lim,E. Lim,#32CD32,1
Jing Jiang,J. Jiang,#32CD32,1
David Lo,D. Lo,#00bfff,1
Debin Gao,D. Gao,#00bfff,1
Robert Deng,R. Deng,#00bfff,1
Yingjiu Li,Y. Li,#00bfff,1
Xuhua Ding,X. Ding,#00bfff,1
Steven Hoi,S. Hoi,#32CD32,1
Hady Lauw,H. Lauw,#32CD32,1
Yuan Fang,Y. Fang,#32CD32,1
Archan Misra,A. Misra,#00bfff,1
Hoong Lau,H. Lau,#32CD32,1
Shih-Fen Cheng,S. Cheng,#32CD32,1
Rajesh Balan,R. Balan,#00bfff,1
Youngki Lee,Y. Lee,#00bfff,1
HweeHwa Pang,H. Pang,#00bfff,1
Kyriakos Mouratidis,K. Mouratidis,#00bfff,1
Pradeep Varakantham,P. Varakantham,#32CD32,1
Akshat Kumar,A. Kumar,#32CD32,1
Kotaro Hara,K. Hara,#ffc0cb,0
Lingxiao Jiang,L. Jiang,#00bfff,1
Baihua Zheng,B. Zheng,#00bfff,0
Yuchen Li,Y. Li,#00bfff,0
