name,abbrv,color,coauthored
Yue Ning,Y. Ning,#32CD32,0
David Klappholz,D. Klappholz,#00bfff,0
David Naumann,D. Naumann,#00bfff,0
Enrique Dunn,E. Dunn,#32CD32,0
Shusen Wang,S. Wang,#32CD32,0
Xinchao Wang,X. Wang,#32CD32,0
Jie 0005,J. 0005,#32CD32,0
Nikos Triandopoulos,N. Triandopoulos,#00bfff,0
Samantha Kleinberg,S. Kleinberg,#32CD32,0
Eric Koskinen,E. Koskinen,#00bfff,0
Eduardo Bonelli,E. Bonelli,#00bfff,0
Wendy Wang,W. Wang,#00bfff,0
Antonio Barbalace,A. Barbalace,#00bfff,0
Giuseppe Ateniese,G. Ateniese,#00bfff,0
Philippos Mordohai,P. Mordohai,#32CD32,0
Georgios Portokalidis,G. Portokalidis,#00bfff,0
Jun 0024,J. 0024,#00bfff,0
