name,abbrv,color,coauthored
Stefan Katzenbeisser,S. Katzenbeisser,#00bfff,1
Marc Fischlin,M. Fischlin,#ffff00,1
Dieter Fellner,D. Fellner,#ffc0cb,0
Michael Pradel,M. Pradel,#00bfff,0
Mira Mezini,M. Mezini,#00bfff,1
Guido Salvaneschi,G. Salvaneschi,#00bfff,1
Ahmad-Reza Sadeghi,A. Sadeghi,#00bfff,1
Thomas Schneider,T. Schneider,#00bfff,1
Michael Waidner,M. Waidner,#00bfff,1
Gerhard Neumann,G. Neumann,#32CD32,1
Jan Peters,J. Peters,#ffc0cb,1
Johannes Fürnkranz,J. Fürnkranz,#32CD32,1
Carsten Binnig,C. Binnig,#00bfff,0
Christian Biemann,C. Biemann,#32CD32,1
Iryna Gurevych,I. Gurevych,#32CD32,1
Reiner Hähnle,R. Hähnle,#ffff00,0
Melanie Volkamer,M. Volkamer,#d3d3d3,0
Max Mühlhäuser,M. Mühlhäuser,#ffc0cb,1
Oskar von Stryk,O. von Stryk,#ffc0cb,1
Stefan Roth,S. Roth,#32CD32,1
Sebastian Faust,S. Faust,#ffff00,0
Kristian Kersting,K. Kersting,#32CD32,0
Neeraj Suri,N. Suri,#00bfff,0
Felix Wolf,F. Wolf,#00bfff,0
Alejandro Buchmann,A. Buchmann,#00bfff,0
Michael Goesele,M. Goesele,#ffc0cb,0
Matthias Hollick,M. Hollick,#d3d3d3,0
Patrick Eugster,P. Eugster,#00bfff,0
