name,abbrv,color,coauthored
Felienne Hermans,F. Hermans,#00bfff,1
Arie van Deursen,A. van Deursen,#00bfff,1
Jan van Gemert,J. van Gemert,#32CD32,0
Robbert Krebbers,R. Krebbers,#00bfff,0
Christoph Lofi,C. Lofi,#00bfff,0
Mark Neerincx,M. Neerincx,#ffc0cb,1
Joost Broekens,J. Broekens,#32CD32,1
Koen Hindriks,K. Hindriks,#ffc0cb,1
Elmar Eisemann,E. Eisemann,#ffc0cb,1
Anna Vilanova,A. Vilanova,#ffc0cb,1
Boudewijn Lelieveldt,B. Lelieveldt,#ffc0cb,1
Catholijn Jonker,C. Jonker,#32CD32,1
Thomas Abeel,T. Abeel,#ffc0cb,0
Andy Zaidman,A. Zaidman,#00bfff,1
Georgios Gousios,G. Gousios,#00bfff,1
Annibale Panichella,A. Panichella,#00bfff,1
Jan Rellermeyer,J. Rellermeyer,#00bfff,0
Dick Epema,D. Epema,#00bfff,1
Henk Sips,H. Sips,#00bfff,1
Johan Pouwelse,J. Pouwelse,#00bfff,1
Asterios Katsifodimos,A. Katsifodimos,#00bfff,0
David Tax,D. Tax,#32CD32,0
R. Prasad,R. Prasad,#00bfff,0
Marco Zuniga,M. Zuniga,#00bfff,1
Koen Langendoen,K. Langendoen,#00bfff,1
Neil Yorke-Smith,N. Yorke-Smith,#32CD32,0
Alessandro Bozzon,A. Bozzon,#32CD32,0
Zekeriya Erkin,Z. Erkin,#d3d3d3,1
Reginald Lagendijk,R. Lagendijk,#d3d3d3,1
Eelco Visser,E. Visser,#d3d3d3,0
Matthijs Spaan,M. Spaan,#32CD32,1
Mathijs de Weerdt,M. de Weerdt,#32CD32,1
Klaus Hildebrandt,K. Hildebrandt,#ffc0cb,0
Sebastian Erdweg,S. Erdweg,#00bfff,0
Lodewyk Wessels,L. Wessels,#ffc0cb,1
Marcel Reinders,M. Reinders,#ffc0cb,1
Léon Rothkrantz,L. Rothkrantz,#32CD32,0
Julián Urbano,J. Urbano,#32CD32,0
Huijuan Wang,H. Wang,#d3d3d3,0
Hayley Hung,H. Hung,#32CD32,0
Sicco Verwer,S. Verwer,#32CD32,1
Cees Witteveen,C. Witteveen,#32CD32,1
Christian Doerr,C. Doerr,#00bfff,0
Mauricio Aniche,M. Aniche,#d3d3d3,1
Claudia Hauff,C. Hauff,#32CD32,0
Martha Larson,M. Larson,#32CD32,1
Alan Hanjalic,A. Hanjalic,#32CD32,1
Remco Litjens,R. Litjens,#00bfff,0
Przemyslaw Pawelczak,P. Pawelczak,#32CD32,0
Georgi Gaydadjiev,G. Gaydadjiev,#00bfff,0
