name,abbrv,color,coauthored
Heiko Vogler,H. Vogler,#32CD32,0
Christof Fetzer,C. Fetzer,#00bfff,1
Thorsten Strufe,T. Strufe,#32CD32,1
Christel Baier,C. Baier,#ffff00,1
Wolfgang Nagel,W. Nagel,#00bfff,1
Carsten Rother,C. Rother,#32CD32,1
Stefan Gumhold,S. Gumhold,#32CD32,1
Sebastian Rudolph,S. Rudolph,#32CD32,0
Wolfgang Lehner,W. Lehner,#00bfff,0
Hermann Härtig,H. Härtig,#00bfff,1
Franz Baader,F. Baader,#32CD32,0
Jerónimo Castrillón,J. Castrillón,#00bfff,0
Akash Kumar,A. Kumar,#00bfff,0
Steffen Hölldobler,S. Hölldobler,#32CD32,0
Raimund Dachselt,R. Dachselt,#ffc0cb,0
