name,abbrv,color,coauthored
Huub van de Wetering,H. van de Wetering,#ffc0cb,1
Jarke van Wijk,J. van Wijk,#ffc0cb,1
Jan Groote,J. Groote,#d3d3d3,0
Mark van den Brand,M. van den Brand,#ffc0cb,1
Alexander Serebrenik,A. Serebrenik,#ffc0cb,1
Mark de Berg,M. de Berg,#ffff00,1
Herman Haverkort,H. Haverkort,#00bfff,1
George Fletcher,G. Fletcher,#00bfff,1
Paul De Bra,P. De Bra,#d3d3d3,1
Pieter Cuijpers,P. Cuijpers,#00bfff,0
Wouter Meulemans,W. Meulemans,#ffc0cb,1
Bettina Speckmann,B. Speckmann,#ffc0cb,1
Kevin Buchin,K. Buchin,#ffff00,1
Luca Allodi,L. Allodi,#d3d3d3,0
Kevin Verbeek,K. Verbeek,#ffc0cb,1
Anton Wijs,A. Wijs,#ffff00,0
Dirk Fahland,D. Fahland,#d3d3d3,0
Andrei Jalba,A. Jalba,#ffc0cb,0
Jerry Hartog,J. Hartog,#00bfff,1
Sandro Etalle,S. Etalle,#00bfff,1
Anne Driemel,A. Driemel,#ffff00,0
Wouter Duivesteijn,W. Duivesteijn,#32CD32,0
Mike Holenderski,M. Holenderski,#d3d3d3,0
Nikolay Yakovets,N. Yakovets,#00bfff,0
Ignaz Rutter,I. Rutter,#ffff00,0
Reinder Bril,R. Bril,#00bfff,0
Bart Jansen,B. Jansen,#ffff00,0
