name,abbrv,color,coauthored
Matthias Nießner,M. Nießner,#ffc0cb,1
Daniel Cremers,D. Cremers,#32CD32,1
Gerd Hirzinger,G. Hirzinger,#ffc0cb,1
Alin Albu-Schäffer,A. Albu-Schäffer,#ffc0cb,1
Sami Haddadin,S. Haddadin,#ffc0cb,1
Darius Burschka,D. Burschka,#ffc0cb,1
Patrick van der Smagt,P. van der Smagt,#ffc0cb,1
Tobias Nipkow,T. Nipkow,#ffff00,1
Javier Esparza,J. Esparza,#ffff00,1
Alois Knoll,A. Knoll,#ffc0cb,1
Carsten Steger,C. Steger,#ffc0cb,0
Jan Kretínský,J. Kretínský,#ffff00,1
Arndt Bode,A. Bode,#00bfff,1
Michael Bader,M. Bader,#00bfff,1
Thomas Neumann,T. Neumann,#00bfff,1
Alfons Kemper,A. Kemper,#00bfff,1
Stephan Günnemann,S. Günnemann,#32CD32,1
Burkhard Rost,B. Rost,#ffc0cb,0
Michael Gerndt,M. Gerndt,#d3d3d3,0
Helmut Seidl,H. Seidl,#00bfff,0
Martin Schulz,M. Schulz,#00bfff,0
Bernd Brügge,B. Brügge,#00bfff,0
Rüdiger Westermann,R. Westermann,#ffc0cb,0
Martin Bichler,M. Bichler,#d3d3d3,0
Bjoern Menze,B. Menze,#32CD32,0
Julien Gagneur,J. Gagneur,#ffc0cb,0
Hans-Joachim Bungartz,H. Bungartz,#00bfff,0
Jens Grossklags,J. Grossklags,#00bfff,0
Georg Carle,G. Carle,#00bfff,0
Alexander Pretschner,A. Pretschner,#00bfff,0
Harald Räcke,H. Räcke,#ffff00,0
Laura Leal-Taixé,L. Leal-Taixé,#32CD32,1
Peter Hubwieser,P. Hubwieser,#d3d3d3,0
Nils Thürey,N. Thürey,#ffc0cb,0
Nassir Navab,N. Navab,#32CD32,0
Peter Struss,P. Struss,#32CD32,0
Matthias Althoff,M. Althoff,#ffc0cb,0
Claudia Eckert,C. Eckert,#32CD32,0
Hans-Arno Jacobsen,H. Jacobsen,#00bfff,0
Susanne Albers,S. Albers,#ffff00,0
