name,abbrv,color,coauthored
Paritosh Pandya,P. Pandya,#ffff00,0
Jaikumar Radhakrishnan,J. Radhakrishnan,#ffff00,1
Arkadev Chattopadhyay,A. Chattopadhyay,#ffff00,1
Hariharan Narayanan,H. Narayanan,#ffff00,1
Prahladh Harsha,P. Harsha,#ffff00,1
Umang Bhaskar,U. Bhaskar,#ffff00,0
Ramprasad Saptharishi,R. Saptharishi,#ffff00,0
Piyush Srivastava,P. Srivastava,#ffff00,0
Vinod Prabhakaran,V. Prabhakaran,#ffff00,0
Pranab Sen,P. Sen,#ffff00,0
Telikepalli Kavitha,T. Kavitha,#ffff00,0
Ashutosh Gupta,A. Gupta,#ffff00,0
