name,abbrv,color,coauthored
Yehuda Afek,Y. Afek,#00bfff,1
Adam Morrison,A. Morrison,#00bfff,1
Haim Kaplan,H. Kaplan,#ffff00,1
Noga Alon,N. Alon,#ffff00,1
Amos Fiat,A. Fiat,#ffff00,1
Shiri Chechik,S. Chechik,#ffff00,1
Yishay Mansour,Y. Mansour,#ffff00,1
Micha Sharir,M. Sharir,#ffff00,1
Yossi Azar,Y. Azar,#ffff00,1
Michal Feldman,M. Feldman,#ffff00,1
Ron Shamir,R. Shamir,#ffc0cb,1
Roded Sharan,R. Sharan,#ffc0cb,1
Rotem Oshman,R. Oshman,#ffff00,0
Amir Shpilka,A. Shpilka,#ffff00,0
Daniel Deutch,D. Deutch,#00bfff,1
Tova Milo,T. Milo,#00bfff,1
Dan Halperin,D. Halperin,#ffc0cb,0
Alexander Rabinovich,A. Rabinovich,#ffff00,0
Nir Bitansky,N. Bitansky,#ffff00,1
Eran Tromer,E. Tromer,#ffff00,1
Amir Globerson,A. Globerson,#32CD32,0
Shmuel Safra,S. Safra,#ffff00,0
Benny Chor,B. Chor,#ffc0cb,0
Ori Lahav,O. Lahav,#00bfff,1
Shmuel Sagiv,S. Sagiv,#ffff00,1
Sharon Shoham,S. Shoham,#ffff00,1
Arnon Avron,A. Avron,#ffff00,0
Yossi Matias,Y. Matias,#32CD32,0
Amnon Ta-Shma,A. Ta-Shma,#ffff00,1
Uri Zwick,U. Zwick,#ffff00,1
Sivan Toledo,S. Toledo,#32CD32,1
Daniel Cohen-Or,D. Cohen-Or,#ffc0cb,1
Noam Rinetzky,N. Rinetzky,#ffff00,1
Shahar Maoz,S. Maoz,#00bfff,0
Nachum Dershowitz,N. Dershowitz,#32CD32,0
Amir Averbuch,A. Averbuch,#32CD32,0
Jonathan Berant,J. Berant,#32CD32,0
Amit Bermano,A. Bermano,#ffc0cb,1
Haim Wolfson,H. Wolfson,#ffc0cb,0
Yehezkel Yeshurun,Y. Yeshurun,#ffc0cb,1
Iftach Haitner,I. Haitner,#ffff00,0
Gil Cohen,G. Cohen,#ffff00,0
