name,abbrv,color,coauthored
Jinxiang Chai,J. Chai,#ffc0cb,0
Shuiwang Ji,S. Ji,#32CD32,0
Dmitri Loguinov,D. Loguinov,#00bfff,0
Dylan Shell,D. Shell,#ffc0cb,1
Radu Stoleru,R. Stoleru,#00bfff,0
Ergun Akleman,E. Akleman,#ffc0cb,1
Jianer Chen,J. Chen,#ffff00,1
Daniel Jiménez,D. Jiménez,#00bfff,1
Paul Gratz,P. Gratz,#00bfff,1
Rabi Mahapatra,R. Mahapatra,#00bfff,0
Roozbeh Jafari,R. Jafari,#d3d3d3,0
Valerie Taylor,V. Taylor,#d3d3d3,0
Jiang Hu,J. Hu,#00bfff,1
Dilma Da Silva,D. Da Silva,#00bfff,1
Eun Kim,E. Kim,#00bfff,1
Francis Quek,F. Quek,#ffc0cb,0
Zhangyang Wang,Z. Wang,#32CD32,0
Andruid Kerne,A. Kerne,#ffc0cb,0
Tracy Hammond,T. Hammond,#32CD32,1
Daniel Goldberg,D. Goldberg,#ffc0cb,1
Sing-Hoi Sze,S. Sze,#ffc0cb,1
Ruihong Huang,R. Huang,#32CD32,0
Jennifer Welch,J. Welch,#d3d3d3,0
Jeff Huang,J. Huang,#00bfff,1
Lawrence Rauchwerger,L. Rauchwerger,#00bfff,1
Guofei Gu,G. Gu,#00bfff,1
Nima Kalantari,N. Kalantari,#ffc0cb,0
Xia Hu,X. Hu,#32CD32,1
James Caverlee,J. Caverlee,#32CD32,1
Eric Ragan,E. Ragan,#ffc0cb,0
Nancy Amato,N. Amato,#ffc0cb,1
Nick Duffield,N. Duffield,#00bfff,0
John Keyser,J. Keyser,#ffc0cb,1
Scott Schaefer,S. Schaefer,#ffc0cb,1
Ricardo Gutierrez-Osuna,R. Gutierrez-Osuna,#32CD32,1
Richard Furuta,R. Furuta,#32CD32,1
Frank Shipman,F. Shipman,#ffc0cb,0
Riccardo Bettati,R. Bettati,#00bfff,0
Vivek Sarin,V. Sarin,#d3d3d3,0
Dylan Shell,D. Shell,#ffc0cb,1
Andreas Klappenecker,A. Klappenecker,#ffc0cb,1
Jyh-Charn Liu,J. Liu,#00bfff,0
Robin Murphy,R. Murphy,#ffc0cb,0
Thomas Ioerger,T. Ioerger,#ffc0cb,0
Yoonsuck Choe,Y. Choe,#32CD32,0
Tiffani Williams,T. Williams,#d3d3d3,0
Shinjiro Sueda,S. Sueda,#ffc0cb,0
Dezhen Song,D. Song,#ffc0cb,0
Anxiao Jiang,A. Jiang,#d3d3d3,0
