name,abbrv,color,coauthored
Xiaoyan Zhu,X. Zhu,#32CD32,1
Minlie Huang,M. Huang,#32CD32,1
Yangdong Deng,Y. Deng,#00bfff,0
Tao Jin,T. Jin,#d3d3d3,0
Yue-Zhi Zhou,Y. Zhou,#32CD32,1
Yaoxue Zhang,Y. Zhang,#32CD32,1
Jun Bi,J. Bi,#00bfff,0
Jianyong Wang,J. Wang,#32CD32,1
Jianhua Feng,J. Feng,#00bfff,1
Guoliang Li,G. Li,#00bfff,1
Jidong Zhai,J. Zhai,#00bfff,1
Wenguang Chen,W. Chen,#00bfff,1
Wei Xue,W. Xue,#00bfff,1
Yuanchun Shi,Y. Shi,#ffc0cb,1
Chun Yu,C. Yu,#ffc0cb,1
Wei 0005,W. 0005,#32CD32,1
Yang 0005,Y. 0005,#32CD32,1
Maosong Sun,M. Sun,#32CD32,1
Jianyang Zeng,J. Zeng,#ffc0cb,1
Kan-Le Shi,K. Shi,#ffc0cb,1
Jia-Guang Sun,J. Sun,#32CD32,1
Jun-Hai Yong,J. Yong,#ffc0cb,1
Jian 0015,J. 0015,#ffff00,1
Longbo Huang,L. Huang,#32CD32,1
Pingzhong Tang,P. Tang,#32CD32,1
Dan Li,D. Li,#00bfff,0
Chongjie Zhang,C. Zhang,#32CD32,0
Yiqun Liu,Y. Liu,#32CD32,1
Hua Xu,H. Xu,#32CD32,0
Zhiyuan Liu,Z. Liu,#32CD32,1
Jun Zhu,J. Zhu,#32CD32,1
Jie Tang,J. Tang,#32CD32,1
Zhihui Du,Z. Du,#d3d3d3,0
Guangyan Zhang,G. Zhang,#d3d3d3,1
Jiwu Shu,J. Shu,#00bfff,1
Kang Chen,K. Chen,#ffc0cb,1
Yongwei Wu,Y. Wu,#00bfff,1
Shi-Min Hu,S. Hu,#ffc0cb,1
Kun Xu,K. Xu,#ffc0cb,1
Guangwen Yang,G. Yang,#00bfff,1
Youhui Zhang,Y. Zhang,#00bfff,1
Kaihuai Qin,K. Qin,#ffc0cb,0
Andrew Yao,A. Yao,#ffff00,0
Guiguang Ding,G. Ding,#32CD32,1
Jianmin Wang,J. Wang,#32CD32,1
Mingsheng Long,M. Long,#32CD32,1
Shaoxu Song,S. Song,#00bfff,1
Yue Gao,Y. Gao,#32CD32,1
Xibin Zhao,X. Zhao,#32CD32,1
Hai Wan,H. Wan,#32CD32,1
Feng 0005,F. 0005,#ffc0cb,1
Youjian Zhao,Y. Zhao,#00bfff,1
Dan Pei,D. Pei,#00bfff,1
Xuefeng Cui,X. Cui,#ffc0cb,0
Jun Zhu,J. Zhu,#ffc0cb,1
Hongbo Li,H. Li,#00bfff,1
Fuchun Sun,F. Sun,#ffc0cb,1
Chunping Li,C. Li,#32CD32,1
Qiang Zhou,Q. Zhou,#00bfff,1
Yici Cai,Y. Cai,#00bfff,1
Yuchun Ma,Y. Ma,#00bfff,1
Shaoping Ma,S. Ma,#32CD32,1
Min 0006,M. 0006,#32CD32,1
Guiming Luo,G. Luo,#32CD32,0
Jiliang Wang,J. Wang,#00bfff,1
Yuan He,Y. He,#00bfff,1
Yunhao Liu,Y. Liu,#00bfff,1
Zheng Yang,Z. Yang,#ffc0cb,1
Ke Xu,K. Xu,#d3d3d3,0
Zhenhua Li,Z. Li,#00bfff,1
Lin Liu,L. Liu,#32CD32,0
Xiaoming Jin,X. Jin,#32CD32,1
Xiaojun Ye,X. Ye,#32CD32,1
Xiu Li,X. Li,#32CD32,1
Xiaolin Hu,X. Hu,#32CD32,1
Xia Yin,X. Yin,#00bfff,1
Jianping Wu,J. Wu,#00bfff,1
Zhiliang Wang,Z. Wang,#00bfff,1
Bo 0010,B. 0010,#32CD32,1
Jianmin Li,J. Li,#32CD32,1
Fengyuan Ren,F. Ren,#00bfff,0
Dong Xiang,D. Xiang,#00bfff,0
Yong-Jin Liu,Y. Liu,#ffc0cb,0
Lifeng Sun,L. Sun,#32CD32,1
Shiqiang Yang,S. Yang,#32CD32,1
Peng Cui,P. Cui,#32CD32,1
Keting Jia,K. Jia,#ffff00,1
Xiaoyun Wang,X. Wang,#ffff00,1
Shixia Liu,S. Liu,#ffc0cb,1
Ran Duan,R. Duan,#ffff00,0
Hongbo Yu,H. Yu,#ffff00,1
Wenwu Zhu,W. Zhu,#32CD32,1
Song-Hai Zhang,S. Zhang,#ffc0cb,1
Yu-Ping Wang,Y. Wang,#ffc0cb,1
Changshui Zhang,C. Zhang,#32CD32,1
Chaokun Wang,C. Wang,#32CD32,1
Yong Cui,Y. Cui,#00bfff,0
Bin Xu,B. Xu,#ffc0cb,0
Yang Yu,Y. Yu,#32CD32,0
Chenye Wu,C. Wu,#d3d3d3,0
Lin Qiao,L. Qiao,#00bfff,0
Hailong Yao,H. Yao,#00bfff,1
Fei He,F. He,#ffff00,0
Huaping Liu,H. Liu,#ffc0cb,1
Hai-Xin Duan,H. Duan,#00bfff,1
Jia Jia,J. Jia,#32CD32,1
Haizhou Ai,H. Ai,#32CD32,0
Wenjian Yu,W. Yu,#00bfff,0
Juan-Zi Li,J. Li,#32CD32,1
Hongliang Yu,H. Yu,#32CD32,0
Wenfei Wu,W. Wu,#00bfff,0
Yixu Song,Y. Song,#ffc0cb,0
Bin Liu,B. Liu,#00bfff,0
Sheqin Dong,S. Dong,#00bfff,0
Zhidong Deng,Z. Deng,#ffc0cb,0
Linmi Tao,L. Tao,#32CD32,0
Mingsheng Ying,M. Ying,#32CD32,0
Yong 0008,Y. 0008,#00bfff,0
John Steinberger,J. Steinberger,#ffff00,0
Jihong Zhu,J. Zhu,#ffc0cb,0
Zheng Qin,Z. Qin,#32CD32,0
