name,abbrv,color,coauthored
Ítalo Cunha,Í. Cunha,#00bfff,0
Mario Campos,M. Campos,#ffc0cb,1
Renato Assunção,R. Assunção,#ffc0cb,1
Douglas Macharet,D. Macharet,#ffc0cb,1
William Schwartz,W. Schwartz,#ffc0cb,1
Erickson do Nascimento,E. do Nascimento,#ffc0cb,1
Loïc Cerf,L. Cerf,#d3d3d3,1
Wagner Meira,W. Meira,#32CD32,1
Fernando Pereira,F. Pereira,#00bfff,1
Leonardo Oliveira,L. Oliveira,#00bfff,1
Mário Alvim,M. Alvim,#00bfff,1
Adriano Veloso,A. Veloso,#32CD32,1
Renato Ferreira,R. Ferreira,#32CD32,1
Adriano Pereira,A. Pereira,#32CD32,1
Virgílio Almeida,V. Almeida,#00bfff,1
Alberto Laender,A. Laender,#32CD32,1
Marcos Gonçalves,M. Gonçalves,#32CD32,1
Jussara Almeida,J. Almeida,#32CD32,1
Fabrício Benevenuto,F. Benevenuto,#00bfff,1
Rodrygo Santos,R. Santos,#32CD32,1
Gisele Pappa,G. Pappa,#ffc0cb,1
Berthier Ribeiro-Neto,B. Ribeiro-Neto,#32CD32,1
Nivio Ziviani,N. Ziviani,#32CD32,1
Pedro de Melo,P. de Melo,#32CD32,1
Antonio Loureiro,A. Loureiro,#00bfff,1
Flavio Figueiredo,F. Figueiredo,#ffc0cb,1
Raquel de Melo Minardi,R. de Melo Minardi,#ffc0cb,1
Marco Valente,M. Valente,#00bfff,0
Dorgival Guedes,D. Guedes,#00bfff,1
Marcos Vieira,M. Vieira,#ffc0cb,0
Mirella Moro,M. Moro,#00bfff,0
José Nogueira,J. Nogueira,#d3d3d3,1
Luiz Chaimowicz,L. Chaimowicz,#ffc0cb,0
Eduardo Figueiredo,E. Figueiredo,#00bfff,0
