name,abbrv,color,coauthored
Paolo Rech,P. Rech,#00bfff,1
Flávio Wagner,F. Wagner,#d3d3d3,1
Gabriel Nazar,G. Nazar,#d3d3d3,1
Philippe Navaux,P. Navaux,#00bfff,1
Luigi Carro,L. Carro,#d3d3d3,1
Ana Bazzan,A. Bazzan,#32CD32,1
Paulo Engel,P. Engel,#ffc0cb,1
Antonio Beck,A. Beck,#d3d3d3,1
Álvaro Moreira,Á. Moreira,#d3d3d3,1
Sergio Bampi,S. Bampi,#00bfff,0
Luciana Nedel,L. Nedel,#ffc0cb,1
João Comba,J. Comba,#ffc0cb,1
Edson Prestes e Silva,E. Prestes e Silva,#ffc0cb,1
Anderson Maciel,A. Maciel,#ffc0cb,1
Aline Villavicencio,A. Villavicencio,#32CD32,0
Luís Lamb,L. Lamb,#32CD32,0
Mara Abel,M. Abel,#ffc0cb,1
Manuel de Oliveira Neto,M. de Oliveira Neto,#ffc0cb,0
Renato Ribas,R. Ribas,#00bfff,1
André Reis,A. Reis,#00bfff,1
Carla Dal Sasso Freitas,C. Dal Sasso Freitas,#ffc0cb,0
Mariana Kolberg,M. Kolberg,#ffc0cb,1
Marcus Ritt,M. Ritt,#32CD32,1
Viviane Moreira,V. Moreira,#00bfff,0
Luciana Buriol,L. Buriol,#32CD32,1
André Pereira,A. Pereira,#32CD32,1
Ricardo da Luz Reis,R. da Luz Reis,#00bfff,0
