name,abbrv,color,coauthored
Jacques Wainer,J. Wainer,#32CD32,0
Guido Araujo,G. Araujo,#00bfff,1
Rodolfo Azevedo,R. Azevedo,#00bfff,1
Guilherme Telles,G. Telles,#ffc0cb,1
Hélio Pedrini,H. Pedrini,#ffc0cb,1
Paulo de Geus,P. de Geus,#d3d3d3,0
Alexandre Falcão,A. Falcão,#ffc0cb,0
Edson Borin,E. Borin,#00bfff,1
Flávio Miyazawa,F. Miyazawa,#d3d3d3,0
Anderson Rocha,A. Rocha,#32CD32,1
Siome Goldenstein,S. Goldenstein,#ffc0cb,1
Julio Hernandez,J. Hernandez,#00bfff,1
Diego Aranha,D. Aranha,#ffff00,1
Cecília Rubira,C. Rubira,#00bfff,0
Sandro Rigo,S. Rigo,#00bfff,0
Eduardo Xavier,E. Xavier,#32CD32,0
