name,abbrv,color,coauthored
Yang Wang,Y. Wang,#32CD32,0
Hui Wu,H. Wu,#00bfff,1
Jingling Xue,J. Xue,#00bfff,1
Sri Parameswaran,S. Parameswaran,#00bfff,1
Kai Engelhardt,K. Engelhardt,#00bfff,1
Ron van der Meyden,R. van der Meyden,#32CD32,1
Gernot Heiser,G. Heiser,#00bfff,1
Kevin Elphinstone,K. Elphinstone,#00bfff,1
David Rajaratnam,D. Rajaratnam,#32CD32,1
Maurice Pagnucco,M. Pagnucco,#32CD32,1
Bernhard Hengst,B. Hengst,#ffc0cb,1
Claude Sammut,C. Sammut,#ffc0cb,1
Michael Thielscher,M. Thielscher,#32CD32,1
Lijun Chang,L. Chang,#00bfff,1
Wenjie Zhang,W. Zhang,#00bfff,1
Xuemin Lin,X. Lin,#00bfff,1
Boualem Benatallah,B. Benatallah,#32CD32,1
Moshe Barukh,M. Barukh,#d3d3d3,1
Wei 0011,W. 0011,#00bfff,1
Zengfeng Huang,Z. Huang,#00bfff,1
Jianbin Qin,J. Qin,#00bfff,1
Gabriele Keller,G. Keller,#00bfff,1
Trevor McDonell,T. McDonell,#d3d3d3,1
Edwin Bonilla,E. Bonilla,#32CD32,0
Sara Khalifa,S. Khalifa,#d3d3d3,1
Wen Hu,W. Hu,#00bfff,1
Mahbub Hassan,M. Hassan,#d3d3d3,1
Chun Chou,C. Chou,#00bfff,1
Bruno Gaëta,B. Gaëta,#ffc0cb,1
Michael Bain,M. Bain,#32CD32,1
Wayne Wobcke,W. Wobcke,#32CD32,1
Alfred Krzywicki,A. Krzywicki,#32CD32,1
Aleksandar Ignjatovic,A. Ignjatovic,#00bfff,1
Jorgen Peddersen,J. Peddersen,#00bfff,1
Haseeb Bokhari,H. Bokhari,#00bfff,1
Bruno Gaëta,B. Gaëta,#ffc0cb,1
Lingkan Gong,L. Gong,#d3d3d3,1
Oliver Diessel,O. Diessel,#d3d3d3,1
Xin Cao,X. Cao,#00bfff,1
Bradford Heap,B. Heap,#32CD32,1
Raymond Wong,R. Wong,#32CD32,0
Yulei Sui,Y. Sui,#00bfff,1
Ding Ye,D. Ye,#d3d3d3,1
Alan Blair,A. Blair,#32CD32,0
Alan Blair,A. Blair,#ffc0cb,0
Serge Gaspers,S. Gaspers,#32CD32,1
Toby Walsh,T. Walsh,#32CD32,1
Haris Aziz,H. Aziz,#32CD32,1
John Shepherd,J. Shepherd,#32CD32,0
Michael Gratton,M. Gratton,#32CD32,0
Abdallah Saffidine,A. Saffidine,#32CD32,1
Seyed-Mehdi-Reza Beheshti,S. Beheshti,#00bfff,0
Lina Yao,L. Yao,#ffc0cb,0
Carroll Morgan,C. Morgan,#ffff00,0
Hui Guo,H. Guo,#ffc0cb,0
Arcot Sowmya,A. Sowmya,#00bfff,0
Victor Jauregui,V. Jauregui,#32CD32,0
