name,abbrv,color,coauthored
Denis Wolf,D. Wolf,#ffc0cb,1
Onofre Júnior,O. Júnior,#ffc0cb,1
Kalinka Branco,K. Branco,#ffc0cb,1
Fernando Osório,F. Osório,#ffc0cb,1
Ricardo Campello,R. Campello,#32CD32,0
Fernando Paulovich,F. Paulovich,#ffc0cb,1
Rosane Minghim,R. Minghim,#ffc0cb,1
Maria de Oliveira,M. de Oliveira,#ffc0cb,1
Agma Traina,A. Traina,#32CD32,1
Caetano Traina,C. Traina,#32CD32,1
Solange Rezende,S. Rezende,#32CD32,0
Diego Amancio,D. Amancio,#32CD32,1
Sandra Aluísio,S. Aluísio,#32CD32,1
Márcio Delamaro,M. Delamaro,#00bfff,0
Gustavo Batista,G. Batista,#32CD32,0
