name,abbrv,color,coauthored
Huanhuan Chen,H. Chen,#32CD32,0
Panlong Yang,P. Yang,#00bfff,1
Yan Xiong,Y. Xiong,#ffc0cb,1
Xiang-Yang Li,X. Li,#00bfff,1
Lan Zhang,L. Zhang,#00bfff,1
Xike Xie,X. Xie,#00bfff,0
Xuehai Zhou,X. Zhou,#00bfff,0
Liusheng Huang,L. Huang,#ffc0cb,0
Yinlong Xu,Y. Xu,#00bfff,0
Ke Tang,K. Tang,#32CD32,0
Xinming Zhang,X. Zhang,#32CD32,0
Xiaoping Chen,X. Chen,#32CD32,0
Naijie Gu,N. Gu,#d3d3d3,0
Enhong Chen,E. Chen,#32CD32,0
Xinyu Feng,X. Feng,#00bfff,0
Lihua Yue,L. Yue,#d3d3d3,0
Hong An,H. An,#00bfff,0
Kai Xing,K. Xing,#00bfff,0
