name,abbrv,color,coauthored
Kirill Levchenko,K. Levchenko,#00bfff,0
Josep Torrellas,J. Torrellas,#00bfff,1
Darko Marinov,D. Marinov,#00bfff,1
Craig Zilles,C. Zilles,#00bfff,1
Deming Chen,D. Chen,#00bfff,1
Nam Kim,N. Kim,#00bfff,1
Laxmikant Kalé,L. Kalé,#00bfff,1
Wen-mei Hwu,W. Hwu,#00bfff,1
Steven Lumetta,S. Lumetta,#00bfff,1
Jian Peng,J. Peng,#ffc0cb,1
ChengXiang Zhai,C. Zhai,#32CD32,1
Ouri Wolfson,O. Wolfson,#d3d3d3,0
Tandy Warnow,T. Warnow,#ffc0cb,0
Steven LaValle,S. LaValle,#ffc0cb,0
Michael Forbes,M. Forbes,#ffff00,0
P. Madhusudan,P. Madhusudan,#ffff00,1
Carl Gunter,C. Gunter,#00bfff,1
Mahesh Viswanathan,M. Viswanathan,#ffff00,1
Julia Hockenmaier,J. Hockenmaier,#32CD32,1
David Forsyth,D. Forsyth,#32CD32,1
Svetlana Lazebnik,S. Lazebnik,#32CD32,1
Martin Wong,M. Wong,#00bfff,1
Alexander Schwing,A. Schwing,#32CD32,1
Mark Hasegawa-Johnson,M. Hasegawa-Johnson,#32CD32,1
Rakesh Kumar,R. Kumar,#00bfff,1
Matthew Caesar,M. Caesar,#00bfff,1
Nikita Borisov,N. Borisov,#00bfff,1
Brighten Godfrey,B. Godfrey,#00bfff,1
Sasa Misailovic,S. Misailovic,#00bfff,1
Luke Olson,L. Olson,#00bfff,1
William Gropp,W. Gropp,#00bfff,1
Marc Snir,M. Snir,#00bfff,1
Mohammed El-Kebir,M. El-Kebir,#ffc0cb,0
Jiawei Han,J. Han,#32CD32,1
Klara Nahrstedt,K. Nahrstedt,#00bfff,1
Jian 0006,J. 0006,#00bfff,0
Karthekeyan Chandrasekaran,K. Chandrasekaran,#ffff00,0
Karrie Karahalios,K. Karahalios,#ffc0cb,1
Aditya Parameswaran,A. Parameswaran,#00bfff,1
Wai-Tat Fu,W. Fu,#ffc0cb,1
Brian Bailey,B. Bailey,#ffc0cb,1
Alex Kirlik,A. Kirlik,#ffc0cb,1
Ranjitha Kumar,R. Kumar,#ffc0cb,1
Mani Fard,M. Fard,#32CD32,1
Derek Hoiem,D. Hoiem,#32CD32,1
Catherine Blake,C. Blake,#32CD32,0
Sariel Har-Peled,S. Har-Peled,#ffff00,0
Timothy Chan,T. Chan,#ffff00,0
Grigore Rosu,G. Rosu,#00bfff,1
Gul Agha,G. Agha,#00bfff,1
Tao Xie,T. Xie,#00bfff,1
Samuel Kamin,S. Kamin,#d3d3d3,1
Shobha Vasudevan,S. Vasudevan,#00bfff,0
Tarek Abdelzaher,T. Abdelzaher,#00bfff,1
Shaowen Wang,S. Wang,#32CD32,1
Kevin Chang,K. Chang,#00bfff,1
Timothy Bretl,T. Bretl,#ffc0cb,1
Michael Bailey,M. Bailey,#00bfff,1
Yih-Chun Hu,Y. Hu,#00bfff,1
Roy Campbell,R. Campbell,#00bfff,1
Indranil Gupta,I. Gupta,#00bfff,1
Marco Caccamo,M. Caccamo,#00bfff,1
Lui Sha,L. Sha,#00bfff,1
Haitham Hassanieh,H. Hassanieh,#00bfff,1
Romit Choudhury,R. Choudhury,#00bfff,1
Sarita Adve,S. Adve,#00bfff,1
Vikram Adve,V. Adve,#00bfff,1
Paris Smaragdis,P. Smaragdis,#32CD32,0
Ravishankar Iyer,R. Iyer,#ffc0cb,1
Thenkurussi Kesavadas,T. Kesavadas,#ffc0cb,1
Sibin Mohan,S. Mohan,#00bfff,1
William Sanders,W. Sanders,#ffc0cb,0
Gerald DeJong,G. DeJong,#32CD32,0
Jeff Erickson,J. Erickson,#ffff00,0
Anil Hirani,A. Hirani,#ffff00,0
Olgica Milenkovic,O. Milenkovic,#ffc0cb,0
Roxana Girju,R. Girju,#32CD32,1
Geir Dullerud,G. Dullerud,#00bfff,1
Saurabh Sinha,S. Sinha,#00bfff,0
Nitin Vaidya,N. Vaidya,#d3d3d3,0
Sayan Mitra,S. Mitra,#ffff00,1
Chandra Chekuri,C. Chekuri,#ffff00,0
Alexandra Kolla,A. Kolla,#ffff00,1
Andrew Miller,A. Miller,#00bfff,0
John Hart,J. Hart,#ffc0cb,0
Lav Varshney,L. Varshney,#32CD32,0
Christopher Fletcher,C. Fletcher,#00bfff,0
Ruta Mehta,R. Mehta,#ffff00,0
Adam Bates,A. Bates,#00bfff,0
José Meseguer,J. Meseguer,#00bfff,0
David Padua,D. Padua,#00bfff,0
Robin Kravets,R. Kravets,#00bfff,0
Bertram Ludäscher,B. Ludäscher,#00bfff,0
