name,abbrv,color,coauthored
Cynthia Matuszek,C. Matuszek,#ffc0cb,0
Chintan Patel,C. Patel,#d3d3d3,1
Nilanjan Banerjee,N. Banerjee,#00bfff,1
Ryan Robucci,R. Robucci,#d3d3d3,1
Alan Sherman,A. Sherman,#00bfff,0
Shimei Pan,S. Pan,#32CD32,0
Marie desJardins,M. desJardins,#32CD32,1
Penny Rheingans,P. Rheingans,#ffc0cb,1
Richard Chang,R. Chang,#ffc0cb,0
Adam Bargteil,A. Bargteil,#ffc0cb,0
Anupam Joshi,A. Joshi,#32CD32,1
Timothy Finin,T. Finin,#32CD32,1
Tim Oates,T. Oates,#32CD32,1
Naghmeh Karimi,N. Karimi,#00bfff,0
Ting Zhu,T. Zhu,#00bfff,0
Chein-I Chang,C. Chang,#00bfff,0
Hamed Pirsiavash,H. Pirsiavash,#32CD32,0
Marc Olano,M. Olano,#ffc0cb,0
Seung-Jun Kim,S. Kim,#ffc0cb,0
Ting-Zhu Huang,T. Huang,#32CD32,0
