name,abbrv,color,coauthored
Mikolás Janota,M. Janota,#32CD32,0
Ana Paiva,A. Paiva,#32CD32,1
Francisco Melo,F. Melo,#ffc0cb,1
Rui Prada,R. Prada,#32CD32,1
Carlos Martinho,C. Martinho,#32CD32,1
João Barreto,J. Barreto,#d3d3d3,0
Sara Madeira,S. Madeira,#ffc0cb,1
Arlindo Oliveira,A. Oliveira,#ffc0cb,1
Alexandre Francisco,A. Francisco,#ffc0cb,1
João Garcia,J. Garcia,#d3d3d3,0
Pável Calado,P. Calado,#32CD32,0
João da Silva Neto,J. da Silva Neto,#32CD32,1
Isabel Trancoso,I. Trancoso,#32CD32,1
David de Matos,D. de Matos,#32CD32,1
Luís Rodrigues,L. Rodrigues,#00bfff,1
Paolo Romano,P. Romano,#00bfff,1
Nuno Santos,N. Santos,#00bfff,1
Rodrigo Rodrigues,R. Rodrigues,#00bfff,1
Luis Silveira,L. Silveira,#00bfff,1
Luís Guerra e Silva,L. Guerra e Silva,#00bfff,1
Helena Galhardas,H. Galhardas,#00bfff,0
Bruno Martins,B. Martins,#ffc0cb,1
Mário Silva,M. Silva,#32CD32,1
Inês Lynce,I. Lynce,#32CD32,1
Ricardo Chaves,R. Chaves,#d3d3d3,1
Leonel Sousa,L. Sousa,#00bfff,1
Luís Veiga,L. Veiga,#d3d3d3,1
Paulo Ferreira,P. Ferreira,#d3d3d3,1
João de Oliveira e Silva,J. de Oliveira e Silva,#d3d3d3,1
Ana Freitas,A. Freitas,#ffc0cb,1
Joaquim Jorge,J. Jorge,#ffc0cb,0
Pedro Tomás,P. Tomás,#00bfff,0
António da Silva,A. da Silva,#00bfff,0
Miguel Correia,M. Correia,#00bfff,0
Pedro Monteiro,P. Monteiro,#ffc0cb,0
Rui Abreu,R. Abreu,#32CD32,0
Nuno Nunes,N. Nunes,#ffc0cb,0
João Dias,J. Dias,#00bfff,0
Miguel Matos,M. Matos,#00bfff,0
Paulo Flores,P. Flores,#00bfff,1
José Monteiro,J. Monteiro,#00bfff,1
Francisco Santos,F. Santos,#32CD32,0
