name,abbrv,color,coauthored
Anthony Steed,A. Steed,#ffc0cb,1
Mel Slater,M. Slater,#ffc0cb,1
Tim Weyrich,T. Weyrich,#ffc0cb,1
Simon Julier,S. Julier,#ffc0cb,1
David Hawkes,D. Hawkes,#32CD32,0
Harry Strange,H. Strange,#32CD32,0
Tobias Ritschel,T. Ritschel,#ffc0cb,1
Gabriel Brostow,G. Brostow,#32CD32,1
Emine Yilmaz,E. Yilmaz,#32CD32,1
Ingemar Cox,I. Cox,#32CD32,1
Jade Alglave,J. Alglave,#ffff00,0
Mark Handley,M. Handley,#00bfff,1
Brad Karp,B. Karp,#00bfff,1
Thore Graepel,T. Graepel,#32CD32,0
Anna Cox,A. Cox,#ffc0cb,1
Duncan Brumby,D. Brumby,#ffc0cb,1
Ann Blandford,A. Blandford,#ffc0cb,1
Paul Marshall,P. Marshall,#ffc0cb,1
Jens Krinke,J. Krinke,#00bfff,1
Yue Jia,Y. Jia,#00bfff,1
Nicolas Gold,N. Gold,#00bfff,1
David Barber,D. Barber,#32CD32,0
Wolfgang Emmerich,W. Emmerich,#00bfff,0
David Clark,D. Clark,#00bfff,1
Nadia Bianchi-Berthouze,N. Bianchi-Berthouze,#ffc0cb,1
Hui 0005,H. 0005,#32CD32,0
Kevin Bryson,K. Bryson,#ffc0cb,0
Sebastian Riedel,S. Riedel,#32CD32,0
Yvonne Rogers,Y. Rogers,#ffc0cb,1
Licia Capra,L. Capra,#ffc0cb,1
Massimiliano Pontil,M. Pontil,#32CD32,1
Mark Herbster,M. Herbster,#32CD32,1
John Shawe-Taylor,J. Shawe-Taylor,#32CD32,0
David Jones,D. Jones,#ffc0cb,0
Toby Cubitt,T. Cubitt,#ffff00,0
Jun 0012,J. 0012,#32CD32,1
Chris Evans,C. Evans,#00bfff,0
George Danezis,G. Danezis,#00bfff,1
Emiliano De Cristofaro,E. De Cristofaro,#00bfff,1
Sarah Meiklejohn,S. Meiklejohn,#00bfff,1
Steven Murdoch,S. Murdoch,#00bfff,0
Emmanuel Letier,E. Letier,#00bfff,1
Anthony Finkelstein,A. Finkelstein,#00bfff,1
Earl Barr,E. Barr,#00bfff,1
Ilya Sergey,I. Sergey,#00bfff,0
Lourdes Agapito,L. Agapito,#32CD32,0
Federica Sarro,F. Sarro,#00bfff,1
Christophe Dessimoz,C. Dessimoz,#ffc0cb,0
M. Sasse,M. Sasse,#ffc0cb,0
Nicolai Marquardt,N. Marquardt,#ffc0cb,1
Anthony Hunter,A. Hunter,#32CD32,0
Niloy Mitra,N. Mitra,#ffc0cb,1
James Brotherston,J. Brotherston,#00bfff,0
Sébastien Ourselin,S. Ourselin,#32CD32,1
Danail Stoyanov,D. Stoyanov,#ffc0cb,1
Natasa Przulj,N. Przulj,#ffc0cb,0
Lewis Griffin,L. Griffin,#32CD32,0
Sebastian Riedel,S. Riedel,#32CD32,0
Daniel Alexander,D. Alexander,#32CD32,0
Jens Groth,J. Groth,#ffff00,0
