name,abbrv,color,coauthored
Zhanpeng Jin,Z. Jin,#00bfff,1
Wenyao Xu,W. Xu,#00bfff,1
Wen Dong,W. Dong,#32CD32,1
Sargur Srihari,S. Srihari,#32CD32,1
Chunming Qiao,C. Qiao,#00bfff,1
Chang Chen,C. Chen,#00bfff,0
Shi Li,S. Li,#ffff00,1
Atri Rudra,A. Rudra,#ffff00,1
Varun Chandola,V. Chandola,#32CD32,0
Marina Blanton,M. Blanton,#00bfff,0
Lu Su,L. Su,#00bfff,1
Jing Gao,J. Gao,#32CD32,1
Kui Ren,K. Ren,#00bfff,1
Murat Demirbas,M. Demirbas,#32CD32,1
Dimitrios Koutsonikolas,D. Koutsonikolas,#00bfff,1
Hung Ngo,H. Ngo,#32CD32,1
Marco Gaboardi,M. Gaboardi,#00bfff,0
Geoffrey Challen,G. Challen,#00bfff,0
Tevfik Kosar,T. Kosar,#00bfff,0
Rohini Srihari,R. Srihari,#32CD32,1
Venu Govindaraju,V. Govindaraju,#32CD32,1
Lukasz Ziarek,L. Ziarek,#00bfff,1
Steven Ko,S. Ko,#00bfff,1
Karthik Dantu,K. Dantu,#ffc0cb,1
Nils Napp,N. Napp,#ffc0cb,0
Oliver Kennedy,O. Kennedy,#00bfff,0
Jan Chomicki,J. Chomicki,#00bfff,0
Ahmet Sariyüce,A. Sariyüce,#00bfff,0
Weihang Wang,W. Wang,#00bfff,0
Jaroslaw Zola,J. Zola,#00bfff,0
Kenneth Regan,K. Regan,#32CD32,0
Junsong Yuan,J. Yuan,#32CD32,0
Russ Miller,R. Miller,#d3d3d3,0
Vipin Chaudhary,V. Chaudhary,#d3d3d3,0
Changyou Chen,C. Chen,#32CD32,0
David Doermann,D. Doermann,#32CD32,0
Xin He,X. He,#00bfff,0
