name,abbrv,color,coauthored
Frank Neumann,F. Neumann,#32CD32,1
Markus 0007,M. 0007,#32CD32,1
Tat-Jun Chin,T. Chin,#32CD32,1
Yuval Yarom,Y. Yarom,#00bfff,1
Damith Ranasinghe,D. Ranasinghe,#00bfff,1
Patanamon Thongtanunam,P. Thongtanunam,#00bfff,0
Claudia Szabo,C. Szabo,#00bfff,0
Qinfeng Shi,Q. Shi,#32CD32,1
Anton van den Hengel,A. van den Hengel,#32CD32,1
Chunhua Shen,C. Shen,#32CD32,1
Anthony Dick,A. Dick,#32CD32,1
David Suter,D. Suter,#32CD32,1
Ian Reid,I. Reid,#ffc0cb,1
Mingyu Guo,M. Guo,#32CD32,0
Gustavo Carneiro,G. Carneiro,#32CD32,1
Bradley Alexander,B. Alexander,#ffc0cb,0
Christoph Treude,C. Treude,#00bfff,0
Hong Shen,H. Shen,#d3d3d3,0
Quan Sheng,Q. Sheng,#ffc0cb,0
Muhammad Babar,M. Babar,#00bfff,0
Chakkrit Tantithamthavorn,C. Tantithamthavorn,#00bfff,0
Sergey Polyakovskiy,S. Polyakovskiy,#ffff00,0
