name,abbrv,color,coauthored
Pierre Boulanger,P. Boulanger,#ffc0cb,0
David Wishart,D. Wishart,#32CD32,1
Russell Greiner,R. Greiner,#32CD32,1
Duane Szafron,D. Szafron,#32CD32,1
Paul Lu,P. Lu,#ffc0cb,1
Alona Fyshe,A. Fyshe,#32CD32,1
Martin Jägersand,M. Jägersand,#ffc0cb,1
Csaba Szepesvári,C. Szepesvári,#32CD32,1
Mohammad Salavatipour,M. Salavatipour,#ffff00,1
Zachary Friggstad,Z. Friggstad,#ffff00,1
Hong 0013,H. 0013,#ffc0cb,0
Guohui Lin,G. Lin,#ffc0cb,1
Randy Goebel,R. Goebel,#32CD32,1
Denilson Barbosa,D. Barbosa,#32CD32,1
Grzegorz Kondrak,G. Kondrak,#32CD32,1
Michael Bowling,M. Bowling,#32CD32,1
Robert Holte,R. Holte,#32CD32,1
Jonathan Schaeffer,J. Schaeffer,#32CD32,1
Abram Hindle,A. Hindle,#00bfff,0
Li-Yan Yuan,L. Yuan,#00bfff,1
Osmar Zaïane,O. Zaïane,#32CD32,1
Jia-Huai You,J. You,#32CD32,1
Jörg Sander,J. Sander,#32CD32,0
Richard Sutton,R. Sutton,#32CD32,1
Dale Schuurmans,D. Schuurmans,#32CD32,1
Martha White,M. White,#32CD32,1
Or Sheffet,O. Sheffet,#32CD32,0
Vadim Bulitko,V. Bulitko,#32CD32,0
Sarah Nadi,S. Nadi,#00bfff,1
Karim Ali,K. Ali,#d3d3d3,1
Martin Müller,M. Müller,#32CD32,1
Ryan Hayward,R. Hayward,#32CD32,1
José Amaral,J. Amaral,#00bfff,1
Davood Rafiei,D. Rafiei,#00bfff,0
Michael Buro,M. Buro,#32CD32,0
Yee-Hong Yang,Y. Yang,#32CD32,0
Anup Basu,A. Basu,#32CD32,0
Mario Nascimento,M. Nascimento,#00bfff,0
