name,abbrv,color,coauthored
Beichuan Zhang,B. Zhang,#00bfff,1
Chris Gniady,C. Gniady,#00bfff,1
Gregory Andrews,G. Andrews,#00bfff,1
Saumya Debray,S. Debray,#00bfff,1
Kobus Barnard,K. Barnard,#32CD32,0
Mihai Surdeanu,M. Surdeanu,#32CD32,0
Larry Peterson,L. Peterson,#00bfff,0
Christian Collberg,C. Collberg,#00bfff,0
Steven Bethard,S. Bethard,#32CD32,0
Richard Snodgrass,R. Snodgrass,#00bfff,0
John Hartman,J. Hartman,#00bfff,0
Joshua Levine,J. Levine,#ffc0cb,1
Katherine Isaacs,K. Isaacs,#00bfff,1
John Kececioglu,J. Kececioglu,#ffc0cb,0
Carlos Scheidegger,C. Scheidegger,#ffc0cb,0
Stephen Kobourov,S. Kobourov,#ffc0cb,0
Alon Efrat,A. Efrat,#ffff00,0
Michelle Strout,M. Strout,#00bfff,0
David Lowenthal,D. Lowenthal,#00bfff,0
