name,abbrv,color,coauthored
Bakhadyr Khoussainov,B. Khoussainov,#ffff00,1
Cristian Calude,C. Calude,#ffff00,1
André Nies,A. Nies,#ffff00,1
Ewan Tempero,E. Tempero,#00bfff,1
Paul Denny,P. Denny,#ffc0cb,1
Andrew Luxton-Reilly,A. Luxton-Reilly,#d3d3d3,1
Gerald Weber,G. Weber,#ffc0cb,0
Yun Koh,Y. Koh,#32CD32,1
Patricia Riddle,P. Riddle,#32CD32,1
Patrice Delmas,P. Delmas,#32CD32,1
Georgy Gimel'farb,G. Gimel'farb,#32CD32,1
Sebastian Link,S. Link,#00bfff,0
David Welch,D. Welch,#ffc0cb,1
Alexei Drummond,A. Drummond,#ffc0cb,1
Paul Ralph,P. Ralph,#00bfff,0
Bakh Khoussainov,B. Khoussainov,#ffff00,0
Gillian Dobbie,G. Dobbie,#00bfff,0
Robert Sheehan,R. Sheehan,#d3d3d3,1
Beryl Plimmer,B. Plimmer,#ffc0cb,1
Mark Gahegan,M. Gahegan,#ffc0cb,0
Burkhard Wünsche,B. Wünsche,#ffc0cb,0
Ian Watson,I. Watson,#32CD32,0
Aniket Mahanti,A. Mahanti,#32CD32,0
Jiamou Liu,J. Liu,#32CD32,0
Ian Warren,I. Warren,#d3d3d3,1
Jing Sun,J. Sun,#d3d3d3,1
Mark Wilson,M. Wilson,#32CD32,0
Mike Barley,M. Barley,#32CD32,0
