name,abbrv,color,coauthored
Eamonn O'Neill,E. O'Neill,#ffc0cb,1
Darren Cosker,D. Cosker,#32CD32,1
Peter Johnson,P. Johnson,#ffc0cb,1
Simon Jones,S. Jones,#ffc0cb,1
Peter Hall,P. Hall,#ffc0cb,1
Leon Watts,L. Watts,#ffc0cb,1
Stephen Payne,S. Payne,#ffc0cb,1
Guy McCusker,G. McCusker,#ffff00,1
James Laird,J. Laird,#ffff00,1
Yong-Liang Yang,Y. Yang,#ffc0cb,0
Özgür Simsek,Ö. Simsek,#32CD32,0
Joanna Bryson,J. Bryson,#32CD32,0
Marina De Vos,M. De Vos,#32CD32,1
Julian Padget,J. Padget,#32CD32,1
Christof Lutteroth,C. Lutteroth,#ffc0cb,0
Tom Haines,T. Haines,#32CD32,0
Neill Campbell,N. Campbell,#32CD32,0
Kwang Kim,K. Kim,#32CD32,1
Christian Richardt,C. Richardt,#32CD32,1
Willem Heijltjes,W. Heijltjes,#ffff00,0
Alessio Guglielmi,A. Guglielmi,#ffff00,0
