name,abbrv,color,coauthored
Kerstin Eder,K. Eder,#ffc0cb,0
Martijn Stam,M. Stam,#ffff00,1
Bogdan Warinschi,B. Warinschi,#00bfff,1
Julian Gough,J. Gough,#ffc0cb,0
Elisabeth Oswald,E. Oswald,#ffff00,0
Anne Roudaut,A. Roudaut,#ffc0cb,0
Simon McIntosh-Smith,S. McIntosh-Smith,#00bfff,0
Mike Fraser,M. Fraser,#ffc0cb,1
Kirsten Cater,K. Cater,#ffc0cb,1
Nicolas Wu,N. Wu,#00bfff,0
Chris Preist,C. Preist,#ffc0cb,1
Peter Flach,P. Flach,#32CD32,0
Carl Ek,C. Ek,#ffc0cb,0
Andrew Calway,A. Calway,#ffc0cb,1
Walterio Mayol-Cuevas,W. Mayol-Cuevas,#ffc0cb,1
Dima Damen,D. Damen,#32CD32,1
Neill Campbell,N. Campbell,#32CD32,0
Raphaël Clifford,R. Clifford,#ffff00,0
Majid Mirmehdi,M. Mirmehdi,#32CD32,0
David Bernhard,D. Bernhard,#00bfff,1
Dave Cliff,D. Cliff,#32CD32,0
Seth Bullock,S. Bullock,#ffc0cb,0
