name,abbrv,color,coauthored
Norman Hutchinson,N. Hutchinson,#00bfff,1
Michael Feeley,M. Feeley,#00bfff,1
James Little,J. Little,#ffc0cb,1
Holger Hoos,H. Hoos,#32CD32,1
Nicholas Harvey,N. Harvey,#ffff00,0
William Aiello,W. Aiello,#00bfff,0
Giuseppe Carenini,G. Carenini,#32CD32,1
Cristina Conati,C. Conati,#32CD32,1
Raymond Ng,R. Ng,#32CD32,1
Hu Fu,H. Fu,#ffff00,0
Ronald Garcia,R. Garcia,#00bfff,0
Frank Wood,F. Wood,#32CD32,0
Uri Ascher,U. Ascher,#ffc0cb,0
Laks Lakshmanan,L. Lakshmanan,#00bfff,1
Siamak Ravanbakhsh,S. Ravanbakhsh,#32CD32,0
Alla Sheffer,A. Sheffer,#ffc0cb,1
Chen Greif,C. Greif,#ffc0cb,1
Kevin Leyton-Brown,K. Leyton-Brown,#32CD32,1
Anne Condon,A. Condon,#ffc0cb,1
Dinesh Pai,D. Pai,#ffc0cb,0
Gregor Kiczales,G. Kiczales,#d3d3d3,0
Margo Seltzer,M. Seltzer,#00bfff,0
Dongwook Yoon,D. Yoon,#ffc0cb,0
Sathish Gopalakrishnan,S. Gopalakrishnan,#00bfff,1
Matei Ripeanu,M. Ripeanu,#00bfff,1
Alan Wagner,A. Wagner,#00bfff,1
Alexandra Fedorova,A. Fedorova,#00bfff,0
Karthik Pattabiraman,K. Pattabiraman,#00bfff,1
Joanna McGrenere,J. McGrenere,#ffc0cb,1
Karon MacLean,K. MacLean,#ffc0cb,1
Tamara Munzner,T. Munzner,#ffc0cb,1
Mark Schmidt,M. Schmidt,#32CD32,1
Michael Friedlander,M. Friedlander,#32CD32,1
Reid Holmes,R. Holmes,#00bfff,0
Ali Mesbah,A. Mesbah,#00bfff,1
Alan Mackworth,A. Mackworth,#ffc0cb,0
Rachel Pottinger,R. Pottinger,#00bfff,0
Leonid Sigal,L. Sigal,#32CD32,0
Michiel van de Panne,M. van de Panne,#ffc0cb,0
Mark Greenstreet,M. Greenstreet,#ffff00,0
Ian Mitchell,I. Mitchell,#ffc0cb,0
Alan Hu,A. Hu,#00bfff,1
Ivan Beschastnikh,I. Beschastnikh,#00bfff,1
Julia Rubin,J. Rubin,#00bfff,0
David Poole,D. Poole,#32CD32,0
Gail Murphy,G. Murphy,#00bfff,0
Tor Aamodt,T. Aamodt,#00bfff,0
Ronald Rensink,R. Rensink,#ffc0cb,0
