name,abbrv,color,coauthored
Joel Reardon,J. Reardon,#00bfff,0
Zongpeng Li,Z. Li,#00bfff,0
Wesley Willett,W. Willett,#ffc0cb,1
Lora Oehlberg,L. Oehlberg,#ffc0cb,1
Jörg Denzinger,J. Denzinger,#00bfff,1
Robert Walker,R. Walker,#00bfff,1
John Aycock,J. Aycock,#ffc0cb,1
Saul Greenberg,S. Greenberg,#ffc0cb,1
Michael Jacobson,M. Jacobson,#d3d3d3,1
Sonny Chan,S. Chan,#ffc0cb,0
Usman Alim,U. Alim,#ffc0cb,1
Mario Sousa,M. Sousa,#ffc0cb,1
Ehud Sharlin,E. Sharlin,#ffc0cb,1
Philip Fong,P. Fong,#00bfff,0
Leonard Manzara,L. Manzara,#d3d3d3,1
Jalal Kawash,J. Kawash,#d3d3d3,1
Majid Ghaderi,M. Ghaderi,#00bfff,0
Reda Alhajj,R. Alhajj,#32CD32,0
Philipp Woelfel,P. Woelfel,#ffff00,0
Przemyslaw Prusinkiewicz,P. Prusinkiewicz,#ffc0cb,0
Peter Høyer,P. Høyer,#ffff00,0
M. Carpendale,M. Carpendale,#ffc0cb,1
Michael Locasto,M. Locasto,#00bfff,0
Reihaneh Safavi-Naini,R. Safavi-Naini,#ffff00,0
Günther Ruhe,G. Ruhe,#ffc0cb,1
Anthony Tang,A. Tang,#ffc0cb,1
Frank Maurer,F. Maurer,#00bfff,0
Ben Stephenson,B. Stephenson,#d3d3d3,0
Nelson Wong,N. Wong,#ffc0cb,0
Carey Williamson,C. Williamson,#32CD32,1
Ken Barker,K. Barker,#32CD32,0
