name,abbrv,color,coauthored
Luca Trevisan,L. Trevisan,#ffff00,0
John Wawrzynek,J. Wawrzynek,#00bfff,1
Krste Asanovic,K. Asanovic,#00bfff,1
Armando Fox,A. Fox,#00bfff,1
Michael Jordan,M. Jordan,#32CD32,1
Marti Hearst,M. Hearst,#ffc0cb,1
Björn Hartmann,B. Hartmann,#ffc0cb,1
James Demmel,J. Demmel,#00bfff,1
S. Sastry,S. Sastry,#ffc0cb,1
Anca Dragan,A. Dragan,#ffc0cb,1
Sanjit Seshia,S. Seshia,#00bfff,1
Kenneth Goldberg,K. Goldberg,#ffc0cb,1
Ruzena Bajcsy,R. Bajcsy,#ffc0cb,1
Vern Paxson,V. Paxson,#00bfff,1
Dawn Song,D. Song,#00bfff,1
Ion Stoica,I. Stoica,#00bfff,1
Scott Shenker,S. Shenker,#00bfff,1
Randy Katz,R. Katz,#00bfff,1
David Wagner,D. Wagner,#00bfff,1
Umesh Vazirani,U. Vazirani,#ffff00,1
Satish Rao,S. Rao,#ffff00,1
Sylvia Ratnasamy,S. Ratnasamy,#00bfff,1
John Kubiatowicz,J. Kubiatowicz,#00bfff,1
Anthony Joseph,A. Joseph,#32CD32,1
George Necula,G. Necula,#00bfff,1
Joseph Hellerstein,J. Hellerstein,#00bfff,1
Prabal Dutta,P. Dutta,#00bfff,1
David Culler,D. Culler,#00bfff,1
Kristofer Pister,K. Pister,#ffc0cb,1
Seth Sanders,S. Sanders,#00bfff,1
Jan Rabaey,J. Rabaey,#00bfff,1
Sergey Levine,S. Levine,#32CD32,1
Pieter Abbeel,P. Abbeel,#ffc0cb,1
Trevor Darrell,T. Darrell,#32CD32,1
Dan Klein,D. Klein,#32CD32,1
Vladimir Stojanovic,V. Stojanovic,#00bfff,1
Kannan Ramchandran,K. Ramchandran,#32CD32,1
Benjamin Recht,B. Recht,#32CD32,1
Martin Wainwright,M. Wainwright,#32CD32,1
Bin Yu,B. Yu,#32CD32,1
Yun Song,Y. Song,#ffc0cb,1
Joseph Gonzalez,J. Gonzalez,#00bfff,1
Eric Paulos,E. Paulos,#ffc0cb,0
Jaijeet Roychowdhury,J. Roychowdhury,#00bfff,0
Elad Alon,E. Alon,#00bfff,1
Alberto Sangiovanni-Vincentelli,A. Sangiovanni-Vincentelli,#00bfff,1
Tsu-Jae Liu,T. Liu,#00bfff,1
Kurt Keutzer,K. Keutzer,#32CD32,1
Stuart Russell,S. Russell,#32CD32,1
Bernd Sturmfels,B. Sturmfels,#ffc0cb,1
John Canny,J. Canny,#ffc0cb,1
Koushik Sen,K. Sen,#00bfff,1
Jennifer Listgarten,J. Listgarten,#ffc0cb,0
Moritz Hardt,M. Hardt,#ffff00,1
Alistair Sinclair,A. Sinclair,#ffff00,0
Katherine Yelick,K. Yelick,#00bfff,1
Jean Walrand,J. Walrand,#00bfff,0
Ronald Fearing,R. Fearing,#ffc0cb,1
Robert Full,R. Full,#ffc0cb,1
Avideh Zakhor,A. Zakhor,#ffc0cb,1
Prasad Raghavendra,P. Raghavendra,#ffff00,1
J. Tygar,J. Tygar,#32CD32,1
James O'Brien,J. O'Brien,#ffc0cb,1
Eric Brewer,E. Brewer,#00bfff,1
Raluca Popa,R. Popa,#00bfff,1
Ren Ng,R. Ng,#ffc0cb,0
Jonathan Shewchuk,J. Shewchuk,#ffc0cb,1
David Bamman,D. Bamman,#32CD32,1
Peter Bartlett,P. Bartlett,#32CD32,1
Nir Yosef,N. Yosef,#ffc0cb,0
Shafi Goldwasser,S. Goldwasser,#ffff00,1
Jonathan Ragan-Kelley,J. Ragan-Kelley,#ffc0cb,0
Sanjam Garg,S. Garg,#ffff00,0
Sayeef Salahuddin,S. Salahuddin,#00bfff,0
Lior Pachter,L. Pachter,#ffc0cb,0
Richard Karp,R. Karp,#ffc0cb,1
Alexandre Bayen,A. Bayen,#32CD32,1
Claire Tomlin,C. Tomlin,#ffc0cb,1
Alessandro Chiesa,A. Chiesa,#ffff00,0
Laurent Ghaoui,L. Ghaoui,#32CD32,0
Costas Spanos,C. Spanos,#32CD32,0
Alexei Efros,A. Efros,#32CD32,1
Edward Lee,E. Lee,#00bfff,0
Brian Barsky,B. Barsky,#ffc0cb,0
