name,abbrv,color,coauthored
Yong Lee,Y. Lee,#32CD32,0
Mohammad Sadoghi,M. Sadoghi,#00bfff,0
Cho-Jui Hsieh,C. Hsieh,#32CD32,0
Bernd Hamann,B. Hamann,#ffc0cb,0
Hao Chen,H. Chen,#00bfff,1
Prasant Mohapatra,P. Mohapatra,#00bfff,1
Ronald Olsson,R. Olsson,#d3d3d3,0
Nina Amenta,N. Amenta,#ffc0cb,0
Vladimir Filkov,V. Filkov,#00bfff,1
Premkumar Devanbu,P. Devanbu,#00bfff,1
Raissa D'Souza,R. D'Souza,#00bfff,1
Aditya Thakur,A. Thakur,#ffff00,0
Shyhtsun Wu,S. Wu,#00bfff,0
Zhaojun Bai,Z. Bai,#00bfff,0
Dipak Ghosal,D. Ghosal,#00bfff,1
Matthew Farrens,M. Farrens,#00bfff,1
Biswanath Mukherjee,B. Mukherjee,#d3d3d3,1
Phillip Rogaway,P. Rogaway,#ffff00,0
Matthew Franklin,M. Franklin,#ffff00,0
Zhou Yu,Z. Yu,#32CD32,0
Michael Neff,M. Neff,#ffc0cb,0
David Doty,D. Doty,#ffff00,0
Ian Davidson,I. Davidson,#32CD32,0
Kwan-Liu Ma,K. Ma,#ffc0cb,1
François Gygi,F. Gygi,#00bfff,1
Nelson Max,N. Max,#ffc0cb,0
Cindy Rubio-González,C. Rubio-González,#00bfff,0
Matt Bishop,M. Bishop,#00bfff,0
Joshua McCoy,J. McCoy,#32CD32,0
Xin Liu,X. Liu,#32CD32,0
Jason Lowe-Power,J. Lowe-Power,#00bfff,0
Samuel King,S. King,#00bfff,0
