name,abbrv,color,coauthored
Geoffrey Bowker,G. Bowker,#d3d3d3,0
Gillian Hayes,G. Hayes,#ffc0cb,1
Paul Dourish,P. Dourish,#ffc0cb,1
Alfred Kobsa,A. Kobsa,#ffc0cb,1
Melissa Mazmanian,M. Mazmanian,#ffc0cb,1
Sandy Irani,S. Irani,#ffff00,0
Cristina Lopes,C. Lopes,#00bfff,1
Pierre Baldi,P. Baldi,#ffc0cb,1
Michael Goodrich,M. Goodrich,#ffff00,1
Tony Givargis,T. Givargis,#00bfff,0
Sharad Mehrotra,S. Mehrotra,#00bfff,1
Gene Tsudik,G. Tsudik,#00bfff,1
Ardalan Sani,A. Sani,#00bfff,1
Michael Dillencourt,M. Dillencourt,#00bfff,1
Lubomir Bic,L. Bic,#00bfff,1
Alexandru Nicolau,A. Nicolau,#00bfff,1
Gloria Mark,G. Mark,#ffc0cb,1
Bill Tomlinson,B. Tomlinson,#ffc0cb,0
Alexander Veidenbaum,A. Veidenbaum,#00bfff,1
Yunan Chen,Y. Chen,#ffc0cb,0
David Eppstein,D. Eppstein,#ffff00,1
Padhraic Smyth,P. Smyth,#32CD32,1
Xiaohui Xie,X. Xie,#ffc0cb,1
Chen Li,C. Li,#00bfff,1
Isaac Scherson,I. Scherson,#d3d3d3,0
Shuang Zhao,S. Zhao,#ffc0cb,0
Alexander Ihler,A. Ihler,#32CD32,1
Elaheh Bozorgzadeh,E. Bozorgzadeh,#00bfff,1
Nikil Dutt,N. Dutt,#00bfff,1
Marco Levorato,M. Levorato,#00bfff,1
Nalini Venkatasubramanian,N. Venkatasubramanian,#00bfff,1
Gary Olson,G. Olson,#ffc0cb,1
Judith Olson,J. Olson,#ffc0cb,1
David Redmiles,D. Redmiles,#00bfff,1
André van der Hoek,A. van der Hoek,#00bfff,1
Bonnie Nardi,B. Nardi,#ffc0cb,0
Vijay Vazirani,V. Vazirani,#ffff00,0
Michael Carey,M. Carey,#00bfff,1
Qi Chen,Q. Chen,#00bfff,0
Sang Jun,S. Jun,#00bfff,0
Daniel Hirschberg,D. Hirschberg,#d3d3d3,1
Kai Zheng,K. Zheng,#ffc0cb,0
Joshua Tanenbaum,J. Tanenbaum,#ffc0cb,0
Aparna Chandramowlishwaran,A. Chandramowlishwaran,#00bfff,0
James Jones,J. Jones,#00bfff,0
Stanislaw Jarecki,S. Jarecki,#00bfff,1
Richard Lathrop,R. Lathrop,#ffc0cb,0
Richard Taylor,R. Taylor,#00bfff,0
Charless Fowlkes,C. Fowlkes,#32CD32,1
Amelia Regan,A. Regan,#32CD32,0
Sam Malek,S. Malek,#00bfff,0
Wayne Hayes,W. Hayes,#ffc0cb,0
Erik Sudderth,E. Sudderth,#32CD32,0
Meenakshisundaram Gopi,M. Gopi,#ffc0cb,1
Aditi Majumder,A. Majumder,#ffc0cb,1
Brian Demsky,B. Demsky,#00bfff,0
Rina Dechter,R. Dechter,#32CD32,1
Sameer Singh,S. Singh,#32CD32,0
Michael Franz,M. Franz,#00bfff,0
