name,abbrv,color,coauthored
Quanquan Gu,Q. Gu,#32CD32,1
Yizhou Sun,Y. Sun,#32CD32,1
George Varghese,G. Varghese,#00bfff,1
Todd Millstein,T. Millstein,#00bfff,1
Mani Srivastava,M. Srivastava,#00bfff,1
Tyson Condie,T. Condie,#00bfff,1
Wei 0010,W. 0010,#32CD32,0
Milos Ercegovac,M. Ercegovac,#00bfff,1
Glenn Reinman,G. Reinman,#00bfff,1
Song-Chun Zhu,S. Zhu,#32CD32,0
Guy Van den Broeck,G. Van den Broeck,#32CD32,1
Adnan Darwiche,A. Darwiche,#32CD32,1
Majid Sarrafzadeh,M. Sarrafzadeh,#32CD32,0
Sriram Sankararaman,S. Sankararaman,#ffc0cb,1
Eran Halperin,E. Halperin,#ffc0cb,1
Miodrag Potkonjak,M. Potkonjak,#00bfff,0
Jens Palsberg,J. Palsberg,#00bfff,1
Miryung Kim,M. Kim,#00bfff,1
Guoqing Xu,G. Xu,#00bfff,0
Carlo Zaniolo,C. Zaniolo,#00bfff,1
Kai-Wei Chang,K. Chang,#32CD32,0
Eleazar Eskin,E. Eskin,#ffc0cb,1
Jason Ernst,J. Ernst,#ffc0cb,1
Rafail Ostrovsky,R. Ostrovsky,#ffff00,1
Amit Sahai,A. Sahai,#ffff00,1
Richard Korf,R. Korf,#32CD32,0
Mario Gerla,M. Gerla,#ffc0cb,0
Jason Cong,J. Cong,#00bfff,1
Songwu Lu,S. Lu,#00bfff,1
Alexander Sherstov,A. Sherstov,#ffff00,1
Judea Pearl,J. Pearl,#32CD32,0
Raghu Meka,R. Meka,#ffff00,0
Eli Gafni,E. Gafni,#ffff00,0
Demetri Terzopoulos,D. Terzopoulos,#ffc0cb,0
Tony Nowatzki,T. Nowatzki,#00bfff,0
Junghoo Cho,J. Cho,#32CD32,0
