name,abbrv,color,coauthored
Stefano Lonardi,S. Lonardi,#ffc0cb,0
Jiasi Chen,J. Chen,#00bfff,0
Walid Najjar,W. Najjar,#00bfff,1
Vassilis Tsotras,V. Tsotras,#00bfff,1
Frank Vahid,F. Vahid,#00bfff,1
Chinya Ravishankar,C. Ravishankar,#d3d3d3,0
Laxmi Bhuyan,L. Bhuyan,#00bfff,1
Rajiv Gupta,R. Gupta,#00bfff,1
Zizhong Chen,Z. Chen,#00bfff,1
Daniel Wong,D. Wong,#00bfff,1
Zhijia Zhao,Z. Zhao,#00bfff,0
Hyoseung Kim,H. Kim,#00bfff,0
Tao Jiang,T. Jiang,#ffc0cb,0
Craig Schroeder,C. Schroeder,#ffc0cb,0
Eamonn Keogh,E. Keogh,#32CD32,1
Heng Yin,H. Yin,#00bfff,0
Vagelis Hristidis,V. Hristidis,#00bfff,1
Evangelos Papalexakis,E. Papalexakis,#32CD32,0
Philip Brisk,P. Brisk,#00bfff,0
Sheldon Tan,S. Tan,#00bfff,1
Shaolei Ren,S. Ren,#00bfff,0
Marek Chrobak,M. Chrobak,#ffff00,0
Amit Roy-Chowdhury,A. Roy-Chowdhury,#32CD32,0
K. Ramakrishnan,K. Ramakrishnan,#00bfff,0
Zhiyun Qian,Z. Qian,#00bfff,1
Srikanth Krishnamurthy,S. Krishnamurthy,#00bfff,1
Chengyu Song,C. Song,#00bfff,1
Neal Young,N. Young,#ffff00,1
Mohsen Lesani,M. Lesani,#ffff00,0
Bir Bhanu,B. Bhanu,#32CD32,0
Michalis Faloutsos,M. Faloutsos,#00bfff,1
Silas Richelson,S. Richelson,#ffff00,0
Michael Pazzani,M. Pazzani,#32CD32,0
Tamar Shinar,T. Shinar,#ffc0cb,0
Ahmed Eldawy,A. Eldawy,#00bfff,0
Nael Abu-Ghazaleh,N. Abu-Ghazaleh,#00bfff,0
Amr Magdy,A. Magdy,#d3d3d3,0
Christian Shelton,C. Shelton,#ffc0cb,1
