name,abbrv,color,coauthored
Sorin Lerner,S. Lerner,#00bfff,1
William Griswold,W. Griswold,#ffc0cb,1
Ranjit Jhala,R. Jhala,#00bfff,1
Lawrence Saul,L. Saul,#32CD32,1
Mihir Bellare,M. Bellare,#ffff00,0
Zhuowen Tu,Z. Tu,#32CD32,0
Deian Stefan,D. Stefan,#00bfff,1
Tajana Simunic,T. Simunic,#00bfff,1
Dean Tullsen,D. Tullsen,#00bfff,1
George Porter,G. Porter,#00bfff,1
David Kriegman,D. Kriegman,#32CD32,1
Ravi Ramamoorthi,R. Ramamoorthi,#ffc0cb,1
Alex Orailoglu,A. Orailoglu,#00bfff,0
Victor Vianu,V. Vianu,#00bfff,1
Alin Deutsch,A. Deutsch,#00bfff,1
Chung-Kuan Cheng,C. Cheng,#00bfff,1
Ronald Graham,R. Graham,#00bfff,1
Ingolf Krüger,I. Krüger,#00bfff,0
Larry Carter,L. Carter,#00bfff,1
Jeanne Ferrante,J. Ferrante,#d3d3d3,1
Sanjoy Dasgupta,S. Dasgupta,#32CD32,1
Yoav Freund,Y. Freund,#32CD32,1
Kamalika Chaudhuri,K. Chaudhuri,#32CD32,1
Stefan Savage,S. Savage,#00bfff,1
Geoffrey Voelker,G. Voelker,#00bfff,1
Yuanyuan Zhou,Y. Zhou,#00bfff,1
James Hollan,J. Hollan,#ffc0cb,1
Scott Klemmer,S. Klemmer,#ffc0cb,1
Steven Dow,S. Dow,#ffc0cb,1
Philip Guo,P. Guo,#ffc0cb,1
Henrik Jensen,H. Jensen,#ffc0cb,1
Ramamohan Paturi,R. Paturi,#ffff00,1
Russell Impagliazzo,R. Impagliazzo,#ffff00,1
Jishen Zhao,J. Zhao,#00bfff,0
Alex Snoeren,A. Snoeren,#00bfff,1
Nadia Polikarpova,N. Polikarpova,#00bfff,0
Ryan Kastner,R. Kastner,#00bfff,0
Fan Graham,F. Graham,#ffff00,1
Pavel Pevzner,P. Pevzner,#ffc0cb,0
Steven Swanson,S. Swanson,#00bfff,1
Ndapandula Nakashole,N. Nakashole,#32CD32,0
Joseph Pasquale,J. Pasquale,#00bfff,1
Scott Baden,S. Baden,#00bfff,0
Shachar Lovett,S. Lovett,#ffff00,1
Daniel Kane,D. Kane,#ffff00,1
Yannis Papakonstantinou,Y. Papakonstantinou,#00bfff,1
Andrew Kahng,A. Kahng,#00bfff,0
Hadi Esmaeilzadeh,H. Esmaeilzadeh,#00bfff,0
Samuel Buss,S. Buss,#ffc0cb,0
Sicun Gao,S. Gao,#32CD32,0
Pradeep Khosla,P. Khosla,#ffc0cb,0
Garrison Cottrell,G. Cottrell,#32CD32,0
Jeffrey Remmel,J. Remmel,#d3d3d3,1
Daniele Micciancio,D. Micciancio,#ffff00,0
Charles Elkan,C. Elkan,#32CD32,0
Vineet Bafna,V. Bafna,#ffc0cb,0
Hao Su,H. Su,#ffc0cb,0
Julian McAuley,J. McAuley,#32CD32,0
