name,abbrv,color,coauthored
Wim van Dam,W. van Dam,#ffff00,0
Huijia Lin,H. Lin,#ffff00,1
Stefano Tessaro,S. Tessaro,#ffff00,1
Amr Abbadi,A. Abbadi,#00bfff,1
Matthew Turk,M. Turk,#32CD32,1
Pradeep Sen,P. Sen,#ffc0cb,1
Tobias Höllerer,T. Höllerer,#ffc0cb,1
Yuan Xie,Y. Xie,#00bfff,0
Giovanni Vigna,G. Vigna,#00bfff,1
Richard Kemmerer,R. Kemmerer,#00bfff,1
Christopher Krügel,C. Krügel,#00bfff,1
Tevfik Bultan,T. Bultan,#00bfff,1
Elizabeth Belding-Royer,E. Belding-Royer,#00bfff,1
Kevin Almeroth,K. Almeroth,#00bfff,1
Theodore Kim,T. Kim,#ffc0cb,0
Divyakant Agrawal,D. Agrawal,#00bfff,1
Xifeng Yan,X. Yan,#00bfff,1
Ömer Egecioglu,Ö. Egecioglu,#d3d3d3,1
Tao 0009,T. 0009,#32CD32,0
Ben Hardekopf,B. Hardekopf,#00bfff,1
Timothy Sherwood,T. Sherwood,#00bfff,1
Yufei Ding,Y. Ding,#00bfff,0
Ling-Qi Yan,L. Yan,#ffc0cb,0
Linda Petzold,L. Petzold,#ffc0cb,0
Yuan-Fang Wang,Y. Wang,#32CD32,0
Ambuj Singh,A. Singh,#00bfff,1
Subhash Suri,S. Suri,#00bfff,1
Chandra Krintz,C. Krintz,#00bfff,1
Richard Wolski,R. Wolski,#00bfff,1
Trinabh Gupta,T. Gupta,#00bfff,0
Daniel Lokshtanov,D. Lokshtanov,#ffff00,0
Jianwen Su,J. Su,#00bfff,0
John Gilbert,J. Gilbert,#d3d3d3,0
Yu-Xiang Wang,Y. Wang,#32CD32,0
William Wang,W. Wang,#32CD32,0
