name,abbrv,color,coauthored
Dimitris Achlioptas,D. Achlioptas,#ffff00,1
Carlos Maltzahn,C. Maltzahn,#00bfff,1
Scott Brandt,S. Brandt,#00bfff,1
Charles McDowell,C. McDowell,#d3d3d3,0
Owen Arden,O. Arden,#00bfff,0
Ethan Miller,E. Miller,#00bfff,1
Darrell Long,D. Long,#00bfff,1
Dejan Milutinovic,D. Milutinovic,#ffc0cb,0
Peter Alvaro,P. Alvaro,#00bfff,1
Manfred Warmuth,M. Warmuth,#32CD32,0
Sri Kurniawan,S. Kurniawan,#ffc0cb,0
Wang Tan,W. Tan,#00bfff,1
Phokion Kolaitis,P. Kolaitis,#00bfff,1
Faisal Nawab,F. Nawab,#00bfff,0
J. Garcia-Luna-Aceves,J. Garcia-Luna-Aceves,#00bfff,0
Lindsey Kuper,L. Kuper,#00bfff,0
Yang 0018,Y. 0018,#32CD32,0
Lise Getoor,L. Getoor,#32CD32,1
Marilyn Walker,M. Walker,#32CD32,1
Mircea Teodorescu,M. Teodorescu,#ffc0cb,0
Cormac Flanagan,C. Flanagan,#00bfff,0
Gabriel Elkaim,G. Elkaim,#ffc0cb,0
Alexander Wolf,A. Wolf,#00bfff,0
Abhradeep Thakurta,A. Thakurta,#32CD32,0
E. Whitehead,E. Whitehead,#00bfff,0
Roberto Manduchi,R. Manduchi,#ffc0cb,0
Jose Renau,J. Renau,#00bfff,1
Matthew Guthaus,M. Guthaus,#00bfff,1
Alex Pang,A. Pang,#ffc0cb,1
Allen Van Gelder,A. Van Gelder,#32CD32,1
David Helmbold,D. Helmbold,#32CD32,0
Snigdha Chaturvedi,S. Chaturvedi,#32CD32,0
S. Vishwanathan,S. Vishwanathan,#32CD32,0
Scott Beamer,S. Beamer,#00bfff,0
Yi Zhang,Y. Zhang,#32CD32,0
Seshadhri Comandur,S. Comandur,#ffff00,0
Chen Qian,C. Qian,#00bfff,0
Luca de Alfaro,L. de Alfaro,#32CD32,0
Ricardo Sanfelice,R. Sanfelice,#ffc0cb,0
Angus Forbes,A. Forbes,#ffc0cb,0
James Davis,J. Davis,#32CD32,0
Heiner Litz,H. Litz,#00bfff,0
Adam Smith,A. Smith,#ffc0cb,0
