name,abbrv,color,coauthored
Sean Holden,S. Holden,#32CD32,0
Robert Watson,R. Watson,#00bfff,1
Simon Moore,S. Moore,#00bfff,1
Peter Sewell,P. Sewell,#00bfff,1
Jon Crowcroft,J. Crowcroft,#00bfff,1
Andrew Moore,A. Moore,#00bfff,1
Nada Amin,N. Amin,#00bfff,0
Anuj Dawar,A. Dawar,#ffff00,0
Simone Teufel,S. Teufel,#32CD32,0
Ted Briscoe,T. Briscoe,#32CD32,0
Richard Mortier,R. Mortier,#00bfff,1
Anil Madhavapeddy,A. Madhavapeddy,#00bfff,1
Ian Leslie,I. Leslie,#00bfff,1
Alan Mycroft,A. Mycroft,#00bfff,0
José Hernández-Lobato,J. Hernández-Lobato,#32CD32,0
Andrew Pitts,A. Pitts,#00bfff,0
Peter Robinson,P. Robinson,#32CD32,0
Glynn Winskel,G. Winskel,#ffff00,0
Frank Stajano,F. Stajano,#00bfff,0
Alastair Beresford,A. Beresford,#00bfff,0
Andrew Rice,A. Rice,#00bfff,0
Marcelo Fiore,M. Fiore,#ffff00,0
Cecilia Mascolo,C. Mascolo,#00bfff,1
Alan Blackwell,A. Blackwell,#ffc0cb,0
Ian Wassell,I. Wassell,#32CD32,0
Pietro Liò,P. Liò,#ffc0cb,0
Robert Harle,R. Harle,#ffc0cb,0
Andy Hopper,A. Hopper,#ffc0cb,1
Rafal Mantiuk,R. Mantiuk,#ffc0cb,0
Alan Blackwell,A. Blackwell,#ffc0cb,0
Robert Harle,R. Harle,#ffc0cb,0
Richard Gibbens,R. Gibbens,#00bfff,0
Timothy Jones,T. Jones,#00bfff,0
Thomas Sauerwald,T. Sauerwald,#ffff00,0
Ross Anderson,R. Anderson,#00bfff,0
Stephen Clark,S. Clark,#32CD32,0
