name,abbrv,color,coauthored
Kien Hua,K. Hua,#00bfff,0
Ronald DeMara,R. DeMara,#00bfff,0
Gita Sukthankar,G. Sukthankar,#32CD32,0
Shaojie Zhang,S. Zhang,#ffc0cb,0
Pamela Wisniewski,P. Wisniewski,#ffc0cb,1
Joseph LaViola,J. LaViola,#ffc0cb,1
Mubarak Shah,M. Shah,#32CD32,1
Boqing Gong,B. Gong,#32CD32,1
Niels da Vitoria Lobo,N. da Vitoria Lobo,#ffc0cb,1
Damian Dechev,D. Dechev,#d3d3d3,0
Sumanta Pattanaik,S. Pattanaik,#ffc0cb,0
Yan Solihin,Y. Solihin,#00bfff,0
Paul Gazzillo,P. Gazzillo,#00bfff,0
Deliang Fan,D. Fan,#00bfff,0
Ali Borji,A. Borji,#32CD32,0
Fei Liu,F. Liu,#32CD32,0
Haiyan Hu,H. Hu,#ffc0cb,0
Sharma Thankachan,S. Thankachan,#00bfff,0
Gary Leavens,G. Leavens,#00bfff,0
Hassan Foroosh,H. Foroosh,#32CD32,0
Jun Wang,J. Wang,#00bfff,0
Charles Hughes,C. Hughes,#32CD32,1
Annie Wu,A. Wu,#ffc0cb,1
Dan Marinescu,D. Marinescu,#d3d3d3,1
Cliff Zou,C. Zou,#d3d3d3,0
Greg Welch,G. Welch,#ffc0cb,0
Guo-Jun Qi,G. Qi,#32CD32,0
Aziz Mohaisen,A. Mohaisen,#00bfff,0
Zhishan Guo,Z. Guo,#00bfff,0
R. Wiegand,R. Wiegand,#d3d3d3,0
Liqiang Wang,L. Wang,#d3d3d3,0
Ladislau Bölöni,L. Bölöni,#d3d3d3,1
Rickard Ewetz,R. Ewetz,#00bfff,0
Xinwen Fu,X. Fu,#00bfff,0
