name,abbrv,color,coauthored
László Babai,L. Babai,#ffff00,0
Ravi Chugh,R. Chugh,#00bfff,0
Aaron Potechin,A. Potechin,#ffff00,0
Pedro Lopes,P. Lopes,#ffc0cb,0
Sanjay Krishnan,S. Krishnan,#00bfff,1
Michael Franklin,M. Franklin,#00bfff,1
David Cash,D. Cash,#ffff00,0
Haryadi Gunawi,H. Gunawi,#00bfff,1
Andrew Chien,A. Chien,#00bfff,1
Shan Lu,S. Lu,#00bfff,1
Andrew Drucker,A. Drucker,#ffff00,0
Ian Foster,I. Foster,#00bfff,0
Stuart Kurtz,S. Kurtz,#00bfff,1
Frederic Chong,F. Chong,#00bfff,1
Risi Kondor,R. Kondor,#32CD32,0
Ketan Mulmuley,K. Mulmuley,#ffff00,0
Rick Stevens,R. Stevens,#d3d3d3,0
Junchen Jiang,J. Jiang,#00bfff,0
Aaron Elmore,A. Elmore,#00bfff,1
Henry Hoffmann,H. Hoffmann,#00bfff,1
Blase Ur,B. Ur,#ffc0cb,0
Alexander Razborov,A. Razborov,#ffff00,0
Gordon Kindlmann,G. Kindlmann,#ffc0cb,1
John Reppy,J. Reppy,#00bfff,1
Ben Zhao,B. Zhao,#00bfff,1
Haitao Zheng,H. Zheng,#00bfff,1
Rebecca Willett,R. Willett,#32CD32,0
Michael Maire,M. Maire,#32CD32,0
Yanjing Li,Y. Li,#00bfff,0
