name,abbrv,color,coauthored
Dirk Grunwald,D. Grunwald,#00bfff,1
Richard Han,R. Han,#00bfff,1
John Black,J. Black,#00bfff,1
Chenhao Tan,C. Tan,#32CD32,0
Danielle Szafir,D. Szafir,#ffc0cb,0
Tam Vu,T. Vu,#00bfff,1
Leysia Palen,L. Palen,#ffc0cb,1
Kenneth Anderson,K. Anderson,#ffc0cb,1
James Martin,J. Martin,#32CD32,1
Sriram Sankaranarayanan,S. Sankaranarayanan,#ffff00,1
Bor-Yuh Chang,B. Chang,#00bfff,1
Rafael Frongillo,R. Frongillo,#32CD32,0
Daniel Massey,D. Massey,#00bfff,0
Eric Wustrow,E. Wustrow,#00bfff,0
Henry Tufo,H. Tufo,#00bfff,0
Pavol Cerný,P. Cerný,#ffff00,0
Shivakant Mishra,S. Mishra,#00bfff,1
Qin Lv,Q. Lv,#ffc0cb,1
Sangtae Ha,S. Ha,#00bfff,1
Abtin Rahimian,A. Rahimian,#00bfff,0
Nikolaus Correll,N. Correll,#ffc0cb,1
Gabe Sibley,G. Sibley,#ffc0cb,1
Michael Eisenberg,M. Eisenberg,#ffc0cb,0
Aaron Clauset,A. Clauset,#32CD32,1
Daniel Larremore,D. Larremore,#32CD32,1
Jed Brubaker,J. Brubaker,#ffc0cb,1
Brian Keegan,B. Keegan,#ffc0cb,1
R. Shapiro,R. Shapiro,#d3d3d3,1
Casey Fiesler,C. Fiesler,#ffc0cb,1
Eric Keller,E. Keller,#00bfff,0
Ashutosh Trivedi,A. Trivedi,#ffff00,0
Daniel Leithinger,D. Leithinger,#ffc0cb,0
Mark Gross,M. Gross,#ffc0cb,0
Sidney D'Mello,S. D'Mello,#00bfff,0
Stephen Voida,S. Voida,#ffc0cb,1
Amy Voida,A. Voida,#ffc0cb,1
Eric Rozner,E. Rozner,#00bfff,0
Clayton Lewis,C. Lewis,#d3d3d3,0
Matthew Hammer,M. Hammer,#00bfff,0
Elizabeth Jessup,E. Jessup,#00bfff,0
Ellen Yi-Luen,E. Yi-Luen,#ffc0cb,0
Shaun Kane,S. Kane,#ffc0cb,0
John Bennett,J. Bennett,#ffc0cb,0
Tom Yeh,T. Yeh,#ffc0cb,0
Michael Paul,M. Paul,#32CD32,0
Jed Brown,J. Brown,#00bfff,0
Elizabeth Bradley,E. Bradley,#32CD32,0
Bradley Hayes,B. Hayes,#ffc0cb,0
Paul Constantine,P. Constantine,#32CD32,0
Daniel Szafir,D. Szafir,#ffc0cb,0
Martha Palmer,M. Palmer,#32CD32,0
Joshua Grochow,J. Grochow,#ffff00,0
Michael Mozer,M. Mozer,#32CD32,0
Tamara Sumner,T. Sumner,#32CD32,0
