name,abbrv,color,coauthored
Erik Frøkjær,E. Frøkjær,#ffc0cb,1
Kasper Hornbæk,K. Hornbæk,#ffc0cb,1
Isabelle Augenstein,I. Augenstein,#32CD32,1
Anders Søgaard,A. Søgaard,#32CD32,1
Marleen de Bruijne,M. de Bruijne,#32CD32,1
Aasa Feragen,A. Feragen,#32CD32,1
Thomas Hansen,T. Hansen,#ffff00,0
Pernille Bjørn,P. Bjørn,#ffc0cb,1
Naja Møller,N. Møller,#d3d3d3,1
Marcos Salles,M. Salles,#00bfff,0
Dirk Hovy,D. Hovy,#32CD32,1
Martin Elsman,M. Elsman,#00bfff,1
Cosmin Oancea,C. Oancea,#00bfff,1
Fritz Henglein,F. Henglein,#00bfff,1
Tariq Andersen,T. Andersen,#d3d3d3,0
Mads Nielsen,M. Nielsen,#32CD32,1
François Lauze,F. Lauze,#32CD32,1
Kenny Erleben,K. Erleben,#ffc0cb,0
Mikkel Jakobsen,M. Jakobsen,#ffc0cb,1
Yvonne Jansen,Y. Jansen,#ffc0cb,1
Jakob Simonsen,J. Simonsen,#ffc0cb,1
Sebastian Boring,S. Boring,#ffc0cb,1
Kim Pedersen,K. Pedersen,#32CD32,1
Christian Igel,C. Igel,#32CD32,1
Sune Darkner,S. Darkner,#32CD32,1
Christina Lioma,C. Lioma,#32CD32,1
Yongluan Zhou,Y. Zhou,#00bfff,0
Christian Wulff-Nilsen,C. Wulff-Nilsen,#ffff00,0
Stephen Alstrup,S. Alstrup,#ffff00,1
Mikkel Thorup,M. Thorup,#ffff00,1
Desmond Elliott,D. Elliott,#32CD32,0
Katarzyna Wac,K. Wac,#ffc0cb,0
Andrzej Filinski,A. Filinski,#00bfff,0
Yevgeny Seldin,Y. Seldin,#32CD32,0
