name,abbrv,color,coauthored
Li Liao,L. Liao,#ffc0cb,0
James Atlas,J. Atlas,#d3d3d3,1
Lori Pollock,L. Pollock,#00bfff,1
Terry Harvey,T. Harvey,#d3d3d3,1
Christopher Rasmussen,C. Rasmussen,#ffc0cb,0
Hagit Shatkay,H. Shatkay,#ffc0cb,0
Ben Carterette,B. Carterette,#32CD32,0
Sandra Carberry,S. Carberry,#32CD32,0
John Cavazos,J. Cavazos,#00bfff,1
James Clause,J. Clause,#00bfff,1
Jingyi Yu,J. Yu,#32CD32,1
Chandra Kambhamettu,C. Kambhamettu,#32CD32,1
Sunita Chandrasekaran,S. Chandrasekaran,#00bfff,0
Michela Taufer,M. Taufer,#00bfff,0
Stephen Siegel,S. Siegel,#00bfff,0
