name,abbrv,color,coauthored
J. Herrmann,J. Herrmann,#ffc0cb,0
Ewan Klein,E. Klein,#32CD32,0
Guido Sanguinetti,G. Sanguinetti,#ffc0cb,0
Björn Franke,B. Franke,#00bfff,1
Nigel Topham,N. Topham,#00bfff,1
Michael O'Boyle,M. O'Boyle,#00bfff,1
Nigel Topham,N. Topham,#ffc0cb,1
Christophe Dubach,C. Dubach,#00bfff,1
Adam Lopez,A. Lopez,#32CD32,1
Bonnie Webber,B. Webber,#32CD32,1
Mirella Lapata,M. Lapata,#32CD32,1
Maurice Fallon,M. Fallon,#ffc0cb,0
Pramod Bhatotia,P. Bhatotia,#00bfff,0
Nigel Goddard,N. Goddard,#32CD32,1
Charles Sutton,C. Sutton,#32CD32,1
Alex Lascarides,A. Lascarides,#32CD32,0
Ajitha Rajan,A. Rajan,#00bfff,1
Shay Cohen,S. Cohen,#32CD32,1
Mark Steedman,M. Steedman,#32CD32,1
Taku Komura,T. Komura,#ffc0cb,1
Sethu Vijayakumar,S. Vijayakumar,#ffc0cb,1
Wenfei Fan,W. Fan,#00bfff,1
Peter Buneman,P. Buneman,#00bfff,1
Leonid Libkin,L. Libkin,#ffff00,1
Stratis Viglas,S. Viglas,#00bfff,1
Rico Sennrich,R. Sennrich,#32CD32,1
Frank Keller,F. Keller,#32CD32,1
Ivan Titov,I. Titov,#32CD32,0
Kousha Etessami,K. Etessami,#ffff00,1
Vittorio Ferrari,V. Ferrari,#32CD32,1
Sharon Goldwater,S. Goldwater,#32CD32,1
Johanna Moore,J. Moore,#32CD32,1
Robin Hill,R. Hill,#ffc0cb,0
James Cheney,J. Cheney,#00bfff,1
Philip Wadler,P. Wadler,#00bfff,1
Henry Thompson,H. Thompson,#32CD32,0
Iain Murray,I. Murray,#32CD32,0
Rik Sarkar,R. Sarkar,#00bfff,1
Mahesh Marina,M. Marina,#00bfff,1
Myungjin Lee,M. Lee,#00bfff,0
Maria Wolters,M. Wolters,#ffc0cb,0
Christopher Lucas,C. Lucas,#32CD32,0
Richard Mayr,R. Mayr,#ffff00,0
Timothy Hospedales,T. Hospedales,#32CD32,1
Zhibin Li,Z. Li,#ffc0cb,0
Stuart Anderson,S. Anderson,#ffc0cb,0
Colin Stirling,C. Stirling,#ffff00,0
Simon King,S. King,#ffc0cb,0
Jane Hillston,J. Hillston,#d3d3d3,1
Stephen Gilmore,S. Gilmore,#d3d3d3,1
Steve Renals,S. Renals,#32CD32,1
He Sun,H. Sun,#ffff00,0
Vijay Nagarajan,V. Nagarajan,#00bfff,1
Murray Cole,M. Cole,#d3d3d3,0
D. Arvind,D. Arvind,#d3d3d3,1
Subramanian Ramamoorthy,S. Ramamoorthy,#ffc0cb,1
Alan Bundy,A. Bundy,#32CD32,0
Aggelos Kiayias,A. Kiayias,#00bfff,1
Vassilis Zikas,V. Zikas,#ffff00,1
Heng Guo,H. Guo,#ffff00,0
Amos Storkey,A. Storkey,#32CD32,1
Peggy Seriès,P. Seriès,#32CD32,1
Markulf Kohlweiss,M. Kohlweiss,#00bfff,0
Gordon Plotkin,G. Plotkin,#00bfff,0
Kami Vaniea,K. Vaniea,#ffc0cb,0
Malcolm Atkinson,M. Atkinson,#00bfff,0
Benjamin Bach,B. Bach,#ffc0cb,0
Sebastian Maneth,S. Maneth,#00bfff,0
Chris Heunen,C. Heunen,#ffff00,0
Helen Pain,H. Pain,#ffc0cb,0
Jon Oberlander,J. Oberlander,#32CD32,0
Boris Grot,B. Grot,#00bfff,1
Elham Kashefi,E. Kashefi,#32CD32,1
Myrto Arapinis,M. Arapinis,#00bfff,0
Barbara Webb,B. Webb,#ffc0cb,0
Kenneth Heafield,K. Heafield,#32CD32,0
Walid Magdy,W. Magdy,#32CD32,0
