name,abbrv,color,coauthored
Sanjay Ranka,S. Ranka,#ffc0cb,1
Anand Rangarajan,A. Rangarajan,#32CD32,1
Prabhat Mishra,P. Mishra,#00bfff,1
Tamer Kahveci,T. Kahveci,#ffc0cb,1
Alin Dobra,A. Dobra,#00bfff,1
Kevin Butler,K. Butler,#00bfff,1
Daisy Wang,D. Wang,#00bfff,1
Christina Gardner-McCune,C. Gardner-McCune,#d3d3d3,0
Patrick Traynor,P. Traynor,#00bfff,1
Shigang Chen,S. Chen,#00bfff,0
Meera Sitharam,M. Sitharam,#ffc0cb,0
Corey Toler-Franklin,C. Toler-Franklin,#ffc0cb,0
Thomas Shrimpton,T. Shrimpton,#ffff00,1
C. Vemuri,C. Vemuri,#32CD32,1
Arunava Banerjee,A. Banerjee,#32CD32,1
My Thai,M. Thai,#00bfff,0
Eakta Jain,E. Jain,#ffc0cb,0
Jih-Kwon Peir,J. Peir,#d3d3d3,0
Vincent Bindschaedler,V. Bindschaedler,#00bfff,0
Lisa Anthony,L. Anthony,#ffc0cb,0
Jörg Peters,J. Peters,#ffc0cb,1
Alireza Entezari,A. Entezari,#ffc0cb,1
Beverly Sanders,B. Sanders,#00bfff,1
Tuba Yavuz-Kahveci,T. Yavuz-Kahveci,#d3d3d3,1
Christina Boucher,C. Boucher,#ffc0cb,1
Jaime Ruiz,J. Ruiz,#ffc0cb,1
Benjamin Lok,B. Lok,#ffc0cb,0
José Fortes,J. Fortes,#00bfff,0
