name,abbrv,color,coauthored
Andreas Podelski,A. Podelski,#00bfff,0
Wolfram Burgard,W. Burgard,#ffc0cb,1
Matthias Teschner,M. Teschner,#ffc0cb,1
Thomas Brox,T. Brox,#32CD32,1
Bernhard Nebel,B. Nebel,#ffc0cb,1
Rolf Backofen,R. Backofen,#ffc0cb,0
Bernd Becker,B. Becker,#00bfff,1
Christoph Scholl,C. Scholl,#00bfff,1
Peter Thiemann,P. Thiemann,#00bfff,1
Christian Schindelhauer,C. Schindelhauer,#00bfff,1
Georg Lausen,G. Lausen,#00bfff,0
Fabian Kuhn,F. Kuhn,#ffff00,0
Hannah Bast,H. Bast,#32CD32,0
Kristof Van Laerhoven,K. Van Laerhoven,#ffc0cb,0
Peter Fischer,P. Fischer,#00bfff,0
