name,abbrv,color,coauthored
Karen Renaud,K. Renaud,#d3d3d3,0
Alessandro Vinciarelli,A. Vinciarelli,#32CD32,0
Michel Steuwer,M. Steuwer,#d3d3d3,0
Nikos Ntarmos,N. Ntarmos,#00bfff,0
Ron Poet,R. Poet,#ffc0cb,1
Lewis Mackenzie,L. Mackenzie,#ffc0cb,1
Colin Perkins,C. Perkins,#00bfff,0
Roderick Murray-Smith,R. Murray-Smith,#ffc0cb,1
Stephen Brewster,S. Brewster,#ffc0cb,1
Simon Rogers,S. Rogers,#ffc0cb,1
John Williamson,J. Williamson,#ffc0cb,1
Matthew Chalmers,M. Chalmers,#ffc0cb,1
Inah Omoronyia,I. Omoronyia,#00bfff,0
Wim Vanderbauwhede,W. Vanderbauwhede,#d3d3d3,0
David Manlove,D. Manlove,#d3d3d3,0
Gethin Norman,G. Norman,#ffff00,0
Iadh Ounis,I. Ounis,#32CD32,1
Craig MacDonald,C. MacDonald,#32CD32,1
Julie Williamson,J. Williamson,#ffc0cb,1
Gerardo Aragon-Camarasa,G. Aragon-Camarasa,#ffc0cb,1
J. Siebert,J. Siebert,#ffc0cb,1
Christos Anagnostopoulos,C. Anagnostopoulos,#32CD32,0
Jeremy Singer,J. Singer,#ffc0cb,1
Patrick Prosser,P. Prosser,#32CD32,1
Muffy Calder,M. Calder,#ffff00,0
Alice Miller,A. Miller,#32CD32,1
Quintin Cutts,Q. Cutts,#d3d3d3,0
Mary Foster,M. Foster,#32CD32,0
Jeff Dalton,J. Dalton,#32CD32,0
Philip Trinder,P. Trinder,#d3d3d3,0
Joemon Jose,J. Jose,#32CD32,0
Simon Gay,S. Gay,#00bfff,0
Helen Purchase,H. Purchase,#ffc0cb,0
