name,abbrv,color,coauthored
Mohammad Alipour,M. Alipour,#00bfff,0
Zhigang Deng,Z. Deng,#ffc0cb,1
Guoning Chen,G. Chen,#ffc0cb,1
Ioannis Pavlidis,I. Pavlidis,#ffc0cb,1
Gopal Pandurangan,G. Pandurangan,#ffff00,0
Arjun Mukherjee,A. Mukherjee,#32CD32,0
Thamar Solorio,T. Solorio,#32CD32,0
Aron Laszka,A. Laszka,#32CD32,0
Ricardo Vilalta,R. Vilalta,#32CD32,0
Carlos Ordonez,C. Ordonez,#00bfff,0
Albert Cheng,A. Cheng,#00bfff,0
Jaspal Subhlok,J. Subhlok,#00bfff,1
Shishir Shah,S. Shah,#d3d3d3,1
Edgar Gabriel,E. Gabriel,#d3d3d3,0
Omprakash Gnawali,O. Gnawali,#00bfff,0
Weidong Shi,W. Shi,#00bfff,0
