name,abbrv,color,coauthored
Elena Zheleva,E. Zheleva,#32CD32,0
Mark Grechanik,M. Grechanik,#00bfff,1
Ugo Buy,U. Buy,#00bfff,1
Brian Ziebart,B. Ziebart,#32CD32,1
Lev Reyzin,L. Reyzin,#32CD32,1
Tanya Berger-Wolf,T. Berger-Wolf,#32CD32,1
György Turán,G. Turán,#32CD32,1
Bhaskar DasGupta,B. DasGupta,#ffc0cb,1
Jason Polakis,J. Polakis,#00bfff,0
Anastasios Sidiropoulos,A. Sidiropoulos,#ffff00,0
Peter Nelson,P. Nelson,#ffc0cb,0
John Lillis,J. Lillis,#00bfff,0
Anthony Faiola,A. Faiola,#ffc0cb,0
Clement Yu,C. Yu,#00bfff,1
A. Sistla,A. Sistla,#ffff00,1
Natalie Parde,N. Parde,#32CD32,0
Cornelia Caragea,C. Caragea,#32CD32,0
Xiaorui Sun,X. Sun,#ffff00,0
Ian Kash,I. Kash,#32CD32,0
Leilah Lyons,L. Lyons,#ffc0cb,0
G. Marai,G. Marai,#ffc0cb,0
Milos Zefran,M. Zefran,#ffc0cb,1
Philip Yu,P. Yu,#32CD32,1
Bing Liu,B. Liu,#32CD32,1
Brent Stephens,B. Stephens,#00bfff,0
Balajee Vamanan,B. Vamanan,#00bfff,0
Robert Kenyon,R. Kenyon,#ffc0cb,1
Thomas DeFanti,T. DeFanti,#ffc0cb,1
Piotr Gmytrasiewicz,P. Gmytrasiewicz,#32CD32,0
Chris Kanich,C. Kanich,#00bfff,0
William Mansky,W. Mansky,#00bfff,0
Andrew Johnson,A. Johnson,#ffc0cb,1
Robert Sloan,R. Sloan,#32CD32,1
Barbara Di Eugenio,B. Di Eugenio,#32CD32,0
Jon Solworth,J. Solworth,#00bfff,0
Xinhua Zhang,X. Zhang,#32CD32,0
Xingbo Wu,X. Wu,#00bfff,0
Hulya Seferoglu,H. Seferoglu,#00bfff,0
Wenjing Rao,W. Rao,#00bfff,0
Jakob Eriksson,J. Eriksson,#00bfff,0
V. Venkatakrishnan,V. Venkatakrishnan,#00bfff,0
